geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E00006184,95,2,57,36,2
E00006185,49,2,63,34,2
E00006186,28,2,29,65,2
E00006187,74,2,47,4,1
E00006188,67,1,41,11,1
E00006219,67,0,41,8,2
E00006224,82,0,53,3,0
E00006225,27,5,32,78,2
E00006820,86,4,35,2,1
E00006822,68,2,23,32,3
E00006823,78,2,61,31,1
E00006824,51,2,35,20,1
E00006827,55,2,43,30,0
E00006828,96,1,21,8,0
E00006829,81,0,26,4,0
E00006830,45,5,37,33,0
E00006831,64,0,51,1,2
E00006833,89,2,23,2,1
E00006834,94,0,38,3,0
E00006835,91,1,25,2,1
E00006836,87,1,20,4,0
E00006838,67,0,26,12,2
E00006839,86,1,48,0,0
E00006840,85,2,25,0,0
E00006841,84,2,27,8,0
E00006842,111,1,15,3,0
E00006843,74,1,26,3,1
E00006846,99,2,26,3,1
E00006851,46,1,32,19,1
E00006852,78,0,38,7,0
E00006853,85,2,20,4,0
E00006861,19,3,127,6,6
E00006862,62,2,60,12,1
E00006863,78,3,49,8,3
E00006864,53,3,60,4,0
E00006866,90,1,21,1,0
E00009227,21,2,34,71,0
E00009230,79,3,73,29,0
E00009233,96,4,55,3,2
E00009235,34,1,40,20,3
E00009236,43,0,36,33,0
E00009238,23,4,79,22,1
E00009240,66,1,30,9,1
E00009242,23,2,21,69,1
E00009247,53,0,73,22,0
E00009248,29,1,99,48,1
E00009253,43,0,64,25,1
E00009254,51,2,77,28,0
E00009255,11,1,26,105,1
E00009257,53,3,41,37,0
E00009262,22,2,10,85,0
E00009264,16,2,10,75,0
E00009265,23,1,53,5,0
E00009266,40,2,40,29,1
E00009267,89,1,61,5,0
E00009269,56,2,34,31,0
E00009271,13,5,14,94,0
E00009272,65,0,31,14,0
E00009273,48,4,42,54,1
E00009274,31,4,51,43,4
E00009275,27,2,31,55,0
E00009276,37,1,85,40,0
E00009277,40,0,51,42,0
E00009278,42,2,36,82,0
E00009279,35,1,37,60,0
E00009280,34,2,42,32,7
E00009281,22,0,24,78,1
E00009282,32,0,19,83,1
E00009283,62,0,22,16,1
E00009284,13,0,11,65,16
E00009285,54,1,48,22,6
E00009286,66,4,32,41,0
E00009287,66,1,30,24,13
E00009288,22,2,41,95,3
E00009289,50,1,28,27,8
E00009291,55,1,47,23,0
E00009292,78,2,45,21,0
E00009293,37,2,29,59,0
E00009294,31,1,38,78,3
E00009295,31,3,42,101,0
E00009296,26,1,83,37,2
E00009297,47,1,44,64,5
E00009298,25,2,34,80,8
E00009299,51,0,28,37,0
E00009300,19,3,61,21,2
E00009301,69,1,51,19,1
E00009302,19,1,89,5,5
E00009303,60,1,50,36,0
E00009304,42,2,45,48,1
E00009305,74,1,16,9,0
E00009306,48,2,48,39,2
E00009307,67,1,30,43,0
E00009308,49,1,62,4,5
E00009309,55,3,34,34,1
E00009310,63,1,26,20,0
E00009311,92,0,31,6,1
E00009312,14,0,15,87,0
E00009313,34,3,52,48,5
E00009314,16,3,17,94,0
E00009334,75,8,29,13,1
E00009341,34,3,21,15,0
E00009424,35,3,23,56,11
E00009429,70,2,25,11,0
E00009430,88,2,31,4,0
E00009432,82,5,47,22,1
E00009438,46,7,142,13,0
E00009439,70,1,59,19,0
E00009445,44,1,33,29,1
E00009449,51,0,69,9,1
E00009452,58,2,75,3,2
E00009455,79,0,26,6,1
E00009457,88,4,26,8,0
E00009459,31,1,41,41,1
E00009460,51,0,46,26,0
E00009461,62,2,64,52,0
E00009462,20,5,54,82,1
E00009463,75,3,94,32,1
E00009464,35,2,23,72,0
E00009465,41,2,25,27,0
E00009466,5,1,19,101,0
E00009467,50,0,27,13,0
E00009468,52,1,31,27,0
E00009469,19,0,8,85,0
E00009470,41,1,38,39,1
E00009471,40,0,43,33,0
E00009472,65,4,28,30,0
E00009473,23,2,18,56,0
E00009474,35,1,43,20,0
E00009475,30,2,47,33,1
E00009476,36,0,83,7,2
E00009477,37,0,45,35,1
E00009478,39,5,31,27,0
E00009479,50,1,29,21,0
E00009480,71,0,43,27,1
E00009481,78,0,21,22,0
E00009482,38,0,72,11,0
E00009483,34,1,55,19,0
E00009484,46,2,31,36,0
E00009485,33,2,56,25,0
E00009486,17,1,19,83,8
E00009487,41,9,49,19,16
E00009488,19,3,41,12,1
E00009489,34,6,66,50,0
E00009490,40,4,39,31,3
E00009491,10,2,16,195,0
E00009492,21,3,14,78,0
E00009493,18,2,13,78,2
E00009494,9,5,35,61,0
E00009495,10,1,14,90,0
E00009496,11,3,8,76,0
E00009497,18,0,30,54,1
E00009498,0,4,7,89,1
E00009499,9,0,17,95,2
E00009500,46,2,54,17,1
E00009501,13,2,19,53,0
E00009586,68,1,40,4,1
E00009644,77,2,72,16,6
E00009645,78,1,20,25,1
E00009646,46,3,36,20,1
E00009647,42,0,39,22,1
E00009648,72,5,58,18,1
E00009649,87,2,21,16,0
E00009651,40,2,24,58,0
E00009652,33,1,54,8,0
E00009653,32,2,101,23,1
E00009654,25,0,13,62,23
E00009655,77,4,30,10,0
E00009656,71,2,32,10,1
E00009657,58,0,32,13,1
E00009658,67,1,53,53,23
E00009659,21,2,15,58,0
E00009660,43,1,67,9,3
E00009661,18,2,29,70,2
E00009662,40,2,90,35,1
E00009663,61,4,46,19,0
E00009664,16,1,12,50,0
E00009665,19,2,21,82,0
E00009666,46,0,46,15,0
E00009667,62,2,117,3,1
E00009668,22,3,50,16,0
E00009669,34,3,33,65,1
E00009670,63,4,26,26,0
E00009671,85,2,16,6,0
E00009672,68,0,21,8,0
E00009673,60,1,29,6,0
E00009674,52,0,30,24,2
E00009675,50,0,60,18,0
E00009676,110,0,13,9,0
E00009677,60,1,29,3,0
E00009678,77,2,16,1,0
E00009679,67,1,27,31,12
E00009680,80,0,24,4,0
E00009681,9,0,22,76,0
E00009718,53,0,107,12,2
E00009720,38,1,39,47,8
E00009721,47,1,74,56,2
E00009722,30,1,84,24,8
E00009723,13,2,98,30,0
E00009724,43,2,50,40,1
E00009725,45,2,68,41,4
E00009726,17,1,30,92,19
E00009727,19,1,40,55,1
E00009728,24,4,83,56,2
E00009729,18,1,60,56,0
E00009732,35,3,29,106,0
E00009733,46,0,34,37,0
E00009735,41,0,43,15,0
E00009736,33,4,44,29,0
E00009737,42,0,44,34,0
E00009741,48,3,44,49,0
E00009742,48,1,38,21,1
E00009743,65,2,29,7,0
E00009744,44,1,47,45,5
E00009745,41,3,35,25,1
E00009747,28,2,50,38,3
E00009748,22,2,80,16,1
E00009749,22,0,35,47,0
E00009750,7,0,78,21,0
E00009751,27,0,33,53,1
E00009752,43,6,60,40,2
E00009753,44,3,64,44,2
E00009754,41,3,29,39,0
E00009755,31,4,57,38,2
E00009756,51,6,67,45,0
E00009795,8,2,31,92,2
E00009814,86,0,30,15,1
E00009820,81,0,19,14,0
E00009821,95,1,24,9,1
E00009822,31,7,37,66,3
E00009823,49,0,64,50,0
E00009824,44,4,60,73,14
E00009825,48,2,34,28,0
E00012783,98,0,33,5,0
E00012784,85,3,29,2,0
E00012785,52,1,49,26,0
E00012786,88,4,30,3,0
E00012787,79,2,31,0,1
E00012788,54,3,23,34,1
E00012789,96,0,24,6,3
E00012790,68,1,50,5,2
E00012791,66,1,38,13,0
E00012797,102,1,19,2,0
E00012798,86,1,31,6,0
E00012799,88,1,31,2,0
E00012800,81,2,50,3,0
E00012801,83,1,25,32,1
E00012802,72,1,39,29,0
E00012803,81,5,55,6,0
