geocode,owned,rent_free,rented_private,rented_social,shared_ownership
W00006099,51,1,15,36,0
W00006100,99,4,9,1,0
W00006101,106,0,9,2,0
W00006102,102,0,10,3,0
W00006103,63,4,8,37,0
W00006252,104,3,29,11,0
W00006253,105,1,16,6,0
W00006254,119,1,18,5,0
W00006255,78,4,7,55,0
W00006257,129,3,10,12,0
W00006259,91,3,26,3,0
W00006262,38,7,13,61,0
W00006264,110,2,11,14,0
W00006419,58,3,7,44,0
W00006420,98,2,9,7,0
W00006421,34,0,22,68,0
W00006422,36,2,20,79,0
W00006423,89,0,9,23,0
W00006424,68,5,7,41,0
W00006425,59,5,1,67,0
W00006426,44,4,9,78,0
W00006427,43,5,6,70,0
W00006428,58,6,10,55,0
W00006767,80,1,17,50,0
W00006768,120,1,4,3,0
W00006769,100,1,10,1,0
W00006770,52,2,15,55,1
W00006771,156,2,20,3,0
W00006772,42,1,12,66,0
W00006773,81,1,18,22,0
W00006774,170,1,15,2,0
W00006775,98,3,10,28,0
W00006776,126,1,10,3,0
W00006777,33,6,3,72,0
W00006778,135,6,44,57,0
W00006779,183,3,16,7,0
W00006780,49,2,5,55,0
W00006781,46,1,10,62,0
W00006782,39,2,8,61,1
W00006783,40,3,5,29,1
W00006784,39,4,13,54,1
W00006785,109,1,10,3,0
W00006786,115,0,16,1,0
W00006787,86,3,20,1,0
W00006788,55,1,36,37,0
W00006789,74,2,27,20,0
W00006790,83,2,24,12,1
W00006791,65,2,33,43,0
W00006792,76,2,19,28,1
W00006793,69,0,28,24,0
W00006794,73,3,11,28,0
W00006795,80,4,35,16,0
W00006796,57,3,12,48,0
W00006797,79,1,14,17,1
W00006798,33,4,8,85,2
W00006799,31,10,12,120,0
W00006800,114,4,26,5,0
W00006801,67,3,9,36,0
W00006802,115,0,6,0,1
W00006803,115,2,5,8,0
W00006804,71,5,6,49,0
W00006805,39,2,4,39,0
W00006806,110,0,11,6,0
W00006807,50,1,11,47,0
W00006808,104,2,34,1,0
W00006809,51,2,11,56,0
W00006810,42,6,5,59,0
W00006811,67,2,16,61,2
W00006812,100,0,2,6,0
W00006813,23,3,8,73,0
W00006814,39,2,12,76,0
W00006815,30,1,11,97,0
W00006816,25,3,12,125,1
W00006817,22,3,10,32,0
W00006818,50,4,7,61,1
W00006819,57,7,7,51,0
W00006820,55,4,7,49,0
W00006821,44,5,11,66,0
W00006822,45,2,9,68,0
W00006823,73,2,6,50,1
W00006824,46,2,8,65,0
W00006825,53,4,4,54,0
W00006826,82,3,10,40,2
W00006840,29,6,14,80,0
W00006841,61,2,24,27,0
W00006842,77,3,56,6,0
W00006843,105,2,19,6,0
W00006844,95,1,14,33,0
W00006845,110,1,0,0,1
W00006846,103,1,8,7,0
W00006847,103,2,17,8,0
W00006848,114,1,13,2,1
W00006849,114,2,6,3,0
W00006850,30,8,10,64,0
W00006851,55,3,58,17,0
W00006852,33,11,10,63,1
W00006853,101,2,12,5,0
W00006854,98,2,26,6,0
W00006855,64,6,20,38,0
W00006856,51,4,8,52,0
W00006857,34,5,5,61,1
W00006858,49,7,8,51,0
W00006859,66,4,8,51,0
W00006860,38,3,7,60,1
W00006861,52,2,7,61,0
W00006862,97,0,18,6,0
W00006863,60,3,3,59,0
W00006864,109,0,7,41,0
W00006865,80,3,14,23,0
W00006866,84,1,30,16,0
W00006867,93,1,20,6,0
W00006868,114,0,7,5,0
W00006869,99,2,10,25,0
W00006870,104,2,17,5,0
W00006871,76,2,10,24,0
W00006889,155,1,32,4,0
W00006890,74,3,50,13,0
W00006891,101,0,18,22,0
W00006892,98,5,36,4,0
W00006893,33,5,45,54,1
W00006894,143,1,10,9,0
W00006895,110,2,14,7,0
W00006896,114,2,11,4,0
W00006897,124,1,20,1,0
W00006898,22,3,20,92,0
W00006899,97,1,19,14,2
W00006900,116,1,14,27,0
W00006901,91,3,27,4,0
W00006902,109,1,15,3,0
W00006903,109,2,10,11,0
W00006904,64,7,7,41,0
W00006905,78,5,4,46,2
W00006906,114,2,10,7,0
W00006907,113,1,13,2,0
W00006909,94,3,15,11,0
W00006910,51,1,13,45,0
W00006931,112,0,5,4,1
W00006932,103,4,18,6,0
W00006933,79,3,18,22,0
W00006934,97,4,11,16,0
W00006935,61,4,15,47,0
W00006936,94,0,29,5,1
W00006937,96,2,16,23,0
W00006938,81,1,5,13,1
W00006940,113,2,17,27,0
W00006941,91,2,4,41,0
W00006942,49,5,7,63,0
W00009771,81,2,5,15,0
W00009912,141,1,8,6,0
W00009916,63,1,4,20,0
W00009917,46,4,5,72,0
W00010109,127,0,8,2,0
W00010110,90,0,38,1,1
W00010111,123,2,11,2,0
