geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E02000984,2793,22,300,27,4
E02000985,2828,17,226,129,5
E02000986,2883,52,552,178,17
E02000987,2074,51,483,649,31
E02000988,2105,67,555,760,9
E02000989,3208,31,199,180,19
E02000990,2567,22,421,266,10
E02000991,2662,31,409,204,10
E02000992,2077,25,229,181,6
E02000993,1118,62,498,1438,19
E02000994,1319,88,553,1359,24
E02000995,2288,58,317,752,15
E02000996,1271,85,213,1748,4
E02000997,1726,18,164,458,6
E02000998,1800,71,1225,550,8
E02000999,724,131,606,2093,26
E02001000,2436,64,935,673,15
E02001001,2275,48,615,245,14
E02001002,2722,44,365,862,25
E02001003,2596,24,171,49,10
E02001004,1196,130,484,1369,6
E02001005,1479,73,723,811,44
E02001006,1720,55,596,411,19
E02001007,3342,43,422,558,31
E02001008,1162,87,414,1160,20
E02001009,1649,47,451,822,6
E02001010,1339,29,505,565,30
E02001011,3381,28,489,202,25
E02001012,2038,54,285,534,8
E02001013,2090,23,225,134,23
E02001014,2226,45,507,856,16
E02001015,1936,82,572,1143,29
E02001016,1440,67,323,1473,51
E02001017,3201,41,630,784,7
E02001018,2499,26,268,202,13
E02001019,2866,47,617,439,13
E02001020,2217,24,143,99,0
E02001021,2701,35,295,80,4
E02001022,2434,40,394,433,25
E02001023,1685,25,196,417,1
E02001024,2845,24,300,168,4
E02001025,1615,64,350,1304,16
E02001026,1889,79,978,704,21
E02001027,1940,45,687,347,10
E02001028,2860,25,103,119,1
E02001029,1715,71,472,612,10
E02001030,1954,25,172,181,14
E02001031,1789,37,457,547,11
E02001032,2461,24,370,246,19
E02001033,1489,29,442,415,15
E02001034,1543,54,739,1478,17
E02001035,2612,31,234,99,5
E02001036,2051,30,401,526,3
E02001037,2601,33,321,52,9
E02001038,1582,52,447,550,6
E02001039,1858,32,363,1182,8
E02001040,2104,29,328,80,7
E02001041,2090,41,564,658,16
E02001042,1811,38,625,398,3
E02001043,1584,29,275,415,4
E02001044,2099,31,501,154,5
E02001045,1561,57,364,1625,15
