geocode,bad,fair,good
E00082128,12,34,288
E00082129,9,49,502
E00082131,8,30,258
E00082132,4,33,390
E00082133,9,32,279
E00082134,4,37,273
E00082135,1,33,308
E00082136,2,23,319
E00082137,8,35,279
E00082138,6,21,323
E00082139,4,10,154
E00082140,3,12,205
E00082141,16,41,354
E00082151,1,23,324
E00082158,7,25,210
E00082163,4,29,304
E00082166,16,42,330
E00082167,9,28,313
E00082168,8,22,248
E00082169,7,26,248
E00082170,8,38,226
E00082171,22,59,430
E00082172,4,21,230
E00082173,8,41,316
E00082174,12,40,428
E00082175,5,19,209
E00082176,11,33,271
E00082177,3,23,252
E00082178,11,28,224
E00082179,10,28,386
E00082180,6,28,295
E00082182,8,25,146
E00082183,5,17,352
E00082184,3,11,446
E00082185,21,48,300
E00082196,30,58,321
E00082197,5,21,254
E00082198,16,33,197
E00082200,12,42,321
E00082210,4,26,352
E00082228,8,27,350
E00082229,13,28,256
E00082230,6,21,331
E00082231,10,71,508
E00082232,2,18,183
E00082233,13,34,440
E00082234,4,24,515
E00082235,8,23,382
E00082236,8,39,558
E00082237,14,28,290
E00082238,12,41,291
E00082239,17,55,375
E00082240,9,48,254
E00082241,12,36,328
E00082242,3,26,229
E00082243,18,94,349
E00082244,13,56,400
E00082245,16,59,409
E00082246,12,47,457
E00082247,15,32,359
E00082248,15,37,288
E00082249,15,33,265
E00082250,3,27,251
E00082251,3,30,243
E00082252,8,21,312
E00082253,11,37,219
E00082254,5,34,297
E00082255,9,37,299
E00082256,14,34,307
E00082257,11,43,438
E00082258,16,38,370
E00082259,5,23,298
E00082261,4,24,301
E00082262,10,45,337
E00082263,13,71,351
E00082264,14,32,321
E00082265,5,25,329
E00082266,11,29,370
E00082267,3,20,264
E00082268,12,35,294
E00082269,3,15,186
E00082270,4,41,324
E00082271,17,57,385
E00082272,8,25,333
E00082273,12,44,443
E00082274,4,11,268
E00082275,10,36,209
E00082276,6,6,90
E00082278,11,37,295
E00082279,2,24,285
E00082280,6,17,309
E00082386,13,41,242
E00082388,17,63,286
E00082389,7,16,195
E00082390,6,25,180
E00082391,7,43,169
E00082394,19,56,233
E00082395,11,15,227
E00082396,10,33,268
E00082397,22,33,171
E00082398,13,52,185
E00082400,4,30,275
E00082405,17,47,299
E00082406,12,28,260
E00082407,5,14,304
E00082408,10,37,430
E00082409,23,47,234
