geocode,all
E01007793,15.03
E01007794,60.13
E01007795,44.5
E01007796,57.54
E01007797,34.71
E01007798,31.6
E01007799,31.31
E01007800,14.45
E01007804,36.24
E01007805,48.69
E01007806,64.08
E01007807,42.36
E01007809,31.67
E01007810,5.18
E01007811,11.3
E01007812,56.64
E01007813,23.1
E01007814,1.34
E01007815,4.71
E01007816,7.84
E01007817,32.56
E01007818,12.14
E01007819,7.2
E01007820,4.77
E01007821,31.27
E01007822,21.34
E01007838,42.98
E01007839,45.72
E01007842,24.42
E01007903,6.83
E01007907,39.5
E01007908,60.06
E01007909,20.58
E01007910,17.45
E01007911,15.89
E01007912,57.06
E01007913,5.44
E01007914,58.37
E01007963,23.54
E01007964,36.77
E01007965,67.93
E01007966,19.63
E01007967,33.11
E01007968,34.44
E01007969,22.86
E01007970,23.37
E01007971,28.45
E01007972,24.41
E01007973,41.36
E01007974,15.18
E01008008,50.09
E01008020,69.34
E01008021,10.86
E01008022,77.99
E01008028,28.48
E01008029,30.14
E01008030,32.46
E01008031,52.33
E01008032,46.84
E01008033,20.24
E01008034,21.43
E01008035,24.05
E01008036,79.68
E01008037,23.85
E01008038,45.56
E01008039,26.09
E01008040,23.39
E01008041,13.02
E01011299,1.28
E01011394,4.77
E01011395,2.76
E01011740,36.83
E01011741,27.19
E01011742,48.97
E01011743,21.5
E01011744,23.92
E01011745,39.38
E01011746,4.68
E01011747,25.6
E01011748,35.27
E01011749,11.4
E01011750,52.51
E01011751,36.28
E01011752,10.27
E01011753,50.76
E01011754,36.38
E01011755,14.02
E01011756,51.94
E01011757,31.75
E01011758,3.46
E01011759,20.85
E01011760,20.27
E01011761,30.51
E01011762,81.96
E01011763,70.05
E01011764,36.95
E01011767,2.42
E01011768,29.62
E01011769,3.26
E01011770,10.41
E01011775,4.64
E01011776,5.67
E01011777,9.28
E01011778,31.4
E01011779,9.98
E01011780,23.05
E01011781,9.36
E01011782,7.78
E01011783,14.88
E01011784,3.86
E01011785,4.54
E01011787,21.57
E01011788,3.93
E01011789,11.56
E01011790,32.79
E01011791,4.78
E01011792,7.43
E01011803,5.53
E01011804,4.89
E01011805,15.38
E01011806,26.22
E01011807,35.67
E01011808,27.5
E01011809,29.33
E01011810,4.47
E01011811,22.14
E01011812,62.82
E01011834,14.68
E01011835,10.8
E01011836,32.41
E01011837,25.81
E01011838,36.17
E01011839,17.06
E01011840,37.49
E01011841,2.99
E01011842,38.23
E01011843,20.83
E01011844,21.03
E01011845,12.75
E01011846,38.81
E01011847,33.74
E01011848,9.96
E01011849,1.1
E01011850,50.7
E01011851,49.57
E01011852,9.9
E01011853,63.99
E01011854,32.69
E01011855,13.18
E01011856,2.96
E01011857,1.38
E01011858,2.3
E01011859,25.89
E01011860,5.04
E01011861,17.85
E01011862,8.19
E01011863,45.9
E01011864,4.06
E01011865,14.7
E01011866,8.42
E01011867,26.89
E01011868,13.94
E01011869,42.87
E01011870,25.14
E01011871,18.74
E01011872,37.99
E01012993,16.86
E01012994,56.16
E01012995,71.22
E01012996,6.79
E01012997,85.8
E01012998,34.21
E01012999,105.45
E01013000,18.3
E01013001,6.56
E01013002,20.6
E01013003,22.97
E01013004,69.09
E01013015,19.52
E01013016,1.08
E01013017,2.86
E01013072,1.78
E01013073,0.77
E01013074,0.35
E01013075,1.03
E01013076,0.4
E01013077,6.14
E01013241,3.09
E01013242,0.6
E01013243,1.05
E01013244,3.34
E01013245,13.99
E01013246,0.34
E01013247,0.42
E01013248,4.52
E01013249,14.36
E01013250,0.95
E01013251,0.49
E01013252,6.82
E01013253,0.89
E01013287,1.67
E01026374,22.78
E01026375,15.64
E01026376,22.61
E01026377,44.64
E01026378,59.74
E01026379,22.0
E01026380,21.2
E01026381,31.36
E01026382,4.71
E01026383,48.89
E01026384,31.6
E01026388,0.76
E01026403,0.31
E01026407,0.5
E01026408,3.86
E01027883,0.55
E01027884,1.13
E01027885,2.42
E01027889,2.52
E01027890,0.87
E01027891,0.81
E01027892,2.52
E01027923,0.43
E01027924,0.7
E01027999,0.8
E01028000,0.82
E01028001,7.0
E01028002,42.49
E01028003,6.38
E01028004,1.06
E01028005,0.57
E01028014,14.1
E01028015,15.42
E01028023,0.37
E01028024,8.64
E01028025,40.37
E01028026,35.7
E01028027,3.96
E01028028,27.91
E01028029,0.73
E01028030,29.62
E01028031,3.52
E01028032,0.8
E01028034,1.15
E01028035,0.48
E01028036,0.62
E01032924,4.98
E01032925,27.58
E01032926,29.96
E01032927,16.58
E01033259,33.61
E01033260,36.18
E01033278,30.14
E01033279,23.24
