geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E02003965,1001,1357,956,1060,1669,1449,1625,603,1182
E02003966,596,815,477,612,1175,1117,1160,389,722
E02003967,838,993,760,838,1267,1239,1248,396,706
E02003968,837,986,830,1035,1311,1108,1277,465,770
E02003969,816,905,809,770,923,815,847,306,499
E02003970,745,900,620,801,1272,1219,1107,358,728
E02003971,750,935,627,796,1226,1234,1183,433,837
E02003972,1015,1076,1033,1102,1506,1155,1140,474,731
E02003973,1008,1060,1275,1013,1288,1146,930,350,681
E02003974,866,899,909,817,1112,1047,993,405,748
E02003975,610,627,528,681,1014,991,1017,338,649
E02003976,545,707,594,690,991,991,989,427,924
E02003977,663,904,631,671,1127,855,801,282,473
E02003987,547,642,590,591,945,974,908,315,544
E02003989,813,855,852,843,1073,1083,939,380,771
E02003990,1022,1101,854,1129,1541,1376,1222,489,1023
E02003991,734,891,663,833,1177,1260,1179,359,625
E02003992,682,1020,1827,993,1203,1109,821,261,678
E02003993,765,950,592,734,1403,1497,1396,437,808
E02003994,858,781,1187,982,1066,852,719,290,780
E02003995,1144,1009,1227,1260,1330,1141,1038,460,885
E02003996,1019,1013,1908,1635,1432,1115,786,277,513
E02003997,1502,1203,1328,1335,1305,1038,897,314,659
E02003998,938,926,872,843,966,775,728,293,567
E02003999,889,1098,765,1029,1406,1361,1368,507,957
E02004000,612,617,647,674,789,763,698,246,460
E02004001,463,568,649,637,929,779,726,282,579
E02004002,1173,1205,1100,1307,1703,1346,1282,450,766
E02004003,1178,1479,1382,1263,2004,1725,1568,541,879
E02004004,1212,1087,1271,1104,1344,1229,1009,394,748
E02004005,872,978,921,951,1225,1168,1043,382,654
E02004006,807,1003,667,834,1451,1452,1395,548,887
E02004007,945,1135,1167,1122,1545,1540,1524,582,938
E02004009,515,844,514,513,1073,929,889,304,497
E02004012,497,564,425,536,855,848,992,338,611
E02004015,424,603,776,652,902,891,947,376,923
E02004016,787,900,792,942,1276,1117,1219,458,910
E02004021,405,479,332,465,817,863,1036,306,573
E02004022,405,526,460,422,871,982,1014,361,534
E02004026,817,851,830,1007,1265,1024,1026,384,818
E02004027,510,690,481,534,1012,1065,1469,577,1476
E02004028,662,785,568,647,1167,1221,1344,513,852
