geocode,female,male
E00085295,255,216
E00085296,149,158
E00085298,147,140
E00085303,152,121
E00085323,217,206
E00085324,161,161
E00085325,175,158
E00085326,171,184
E00085327,115,110
E00085328,65,119
E00085329,144,133
E00085330,92,85
E00085340,133,166
E00085341,191,163
E00085342,192,189
E00085343,217,211
E00085344,202,175
E00085345,179,206
E00085346,202,170
E00085347,173,163
E00085348,191,189
E00085349,137,126
E00085350,124,107
E00085352,166,159
E00085354,182,159
E00085409,130,136
E00085410,186,160
E00085411,179,171
E00085412,206,186
E00085413,151,139
E00085414,164,152
E00085415,179,165
E00085416,170,151
E00085417,155,141
E00085418,177,189
E00085419,163,190
E00085420,161,156
E00085421,186,164
E00085422,159,147
E00085423,154,148
E00085424,175,171
E00085425,143,143
E00085426,210,183
E00085427,179,159
E00085428,139,128
E00085429,163,141
E00085430,167,151
E00085431,115,128
E00085432,165,156
E00085433,138,99
E00085434,174,152
E00085435,126,128
E00085436,141,138
E00085437,155,150
E00085438,155,141
E00085439,151,138
E00085440,158,148
E00085441,175,149
E00085442,154,157
E00085443,163,141
E00085444,187,130
E00085445,138,137
E00085446,63,67
E00085447,193,177
E00085448,168,159
E00085449,159,152
E00085450,195,155
E00085451,140,127
E00085452,117,120
E00085453,180,154
E00085454,205,192
E00085469,81,82
E00085741,192,203
E00085742,194,155
E00085760,183,174
E00085762,165,165
E00085765,158,164
E00085769,129,136
E00085844,166,175
E00085845,147,133
E00085846,167,151
E00085847,132,137
E00085848,153,120
E00085849,183,182
E00085850,137,136
E00085851,171,148
E00085852,142,144
E00085859,119,123
E00085863,148,141
E00085864,160,145
E00085865,135,154
E00085866,150,140
E00085867,169,154
E00085868,150,144
E00085869,132,114
E00085870,123,110
E00085871,168,178
E00085872,113,99
E00085873,152,117
E00085874,114,113
E00085875,156,158
E00085876,145,134
E00085877,164,137
E00085878,212,162
E00085879,125,138
E00085880,127,125
E00085882,136,134
E00106768,169,169
E00106769,151,143
E00106771,165,154
E00106773,202,227
E00106774,169,134
E00106775,135,122
E00106776,166,165
E00106784,384,221
E00106785,167,172
E00106786,129,123
E00106787,125,117
E00106788,182,181
E00106789,145,135
E00106790,174,169
E00106816,143,141
E00106817,117,92
E00106818,132,118
E00106819,159,135
E00106820,155,132
E00106845,145,145
E00106847,161,144
E00106848,189,206
E00106850,164,148
E00106851,142,151
E00106852,152,153
E00106853,153,154
E00106856,184,153
E00106857,144,394
E00106858,174,149
E00106860,182,171
E00106862,192,196
E00106865,163,160
E00106867,190,180
E00106869,122,90
E00106870,156,138
E00106873,213,171
E00106874,169,168
E00106875,166,156
E00106876,158,145
E00106877,154,142
E00106878,162,148
E00106879,178,163
E00106993,184,160
E00106994,74,56
E00106995,91,89
E00106996,132,105
E00106997,161,172
E00106998,147,137
E00106999,137,132
E00107000,157,184
E00107001,82,76
E00161649,169,187
E00161656,173,142
E00161657,240,231
E00161658,158,169
E00161659,227,252
E00161660,204,168
E00161661,199,144
E00161662,155,154
E00161663,166,162
E00161664,165,164
E00161665,139,148
E00161666,162,152
E00161667,177,156
E00161668,209,178
E00161669,171,169
E00161685,192,201
E00161686,153,135
E00161687,136,133
E00161688,152,154
E00161689,137,133
E00161691,198,158
E00161692,111,131
E00161693,140,143
E00161694,171,152
E00161695,160,152
E00161696,135,161
E00161697,145,157
E00161698,142,136
E00161699,101,86
E00161700,161,137
E00161701,156,144
E00161713,173,171
E00161715,190,218
E00161718,325,281
E00161719,163,171
E00161720,149,144
E00161725,144,135
E00161726,154,151
E00161727,184,185
E00161728,113,96
E00161729,178,170
E00161730,168,193
E00161731,167,156
E00161861,134,123
E00161862,147,120
E00161863,155,110
E00161864,160,120
E00161865,144,119
E00161866,170,119
E00161867,169,147
E00161868,79,79
E00161869,87,95
E00161870,183,164
E00161871,259,227
E00161872,158,154
E00161873,143,129
E00161874,248,224
E00161875,137,152
E00161876,162,161
E00161877,159,172
E00161878,168,145
E00161879,162,153
E00161880,161,124
E00161881,141,138
E00161882,148,133
E00161883,169,112
E00161884,154,144
E00161885,139,128
E00161886,106,133
E00161986,180,164
E00161987,188,163
E00161988,165,143
E00161989,171,160
E00161991,297,280
E00161996,147,116
E00162005,110,127
E00172912,89,93
E00172913,357,276
E00172914,306,207
E00172916,263,285
E00172917,1429,1252
E00172918,69,58
