geocode,asian,black,mixed,other,white
E01000650,197,56,56,31,1571
E01000651,85,21,53,13,1456
E01000652,94,36,25,12,1458
E01000654,27,9,24,1,1212
E01000655,21,3,26,9,1264
E01000656,13,21,31,20,1315
E01000657,28,21,18,12,1508
E01000658,13,2,9,1,1333
E01000659,13,14,17,2,1416
E01000661,91,140,86,15,1262
E01000662,88,117,76,12,1448
E01000663,74,62,59,16,1416
E01000664,73,83,52,8,1394
E01000665,76,64,53,18,1604
E01000666,44,26,23,10,1711
E01000667,99,25,31,17,1448
E01000668,104,49,58,14,1395
E01000669,45,50,75,0,1502
E01000670,220,97,88,39,1488
E01000671,148,81,63,9,1443
E01000679,64,73,70,14,1439
E01000680,44,3,27,6,1529
E01000681,83,24,37,18,1543
E01000682,62,31,19,5,1407
E01000683,163,38,42,14,1335
E01000684,191,75,40,25,1705
E01000685,53,32,18,16,1446
E01000686,75,30,13,4,1386
E01000687,49,12,41,3,1498
E01000688,65,20,33,0,1247
E01000698,110,51,38,11,972
E01000719,64,199,66,13,1554
E01000720,46,194,69,18,1305
E01000721,65,161,56,9,1036
E01000722,71,78,38,6,1443
E01000723,20,32,8,0,1187
E01000724,58,272,64,10,1356
E01000725,48,77,38,1,1477
E01000726,47,52,17,9,1157
E01000727,63,46,30,6,1408
E01000730,42,162,71,3,1446
E01000731,51,109,49,6,1148
E01000732,77,57,31,11,1299
E01000733,43,76,31,20,1423
E01000734,51,69,41,3,1196
E01000747,23,25,60,7,1805
E01000748,15,12,29,9,1537
E01000749,26,6,32,1,1523
E01000750,51,32,39,10,1360
E01000751,239,53,40,23,1652
E01000752,32,23,22,4,1525
E01000753,62,21,23,11,1689
E01000754,108,17,40,11,1499
E01000755,59,14,34,17,1381
E01000756,107,22,38,12,1384
E01000757,53,2,24,2,1418
E01000758,88,23,20,10,1338
E01000759,22,13,24,22,1461
E01000760,30,26,35,7,1405
E01000761,31,30,46,3,1442
E01000762,130,36,70,31,1356
E01000763,65,22,26,5,1334
E01000764,53,87,31,4,1440
E01000765,29,33,35,14,1593
E01000766,45,19,49,10,1591
E01000767,49,26,43,4,1524
E01000768,53,17,33,5,1447
E01000786,30,28,24,14,1325
E01000787,40,53,28,2,1282
E01000788,105,88,54,19,1260
E01000789,84,207,72,5,1432
E01000790,222,78,69,21,1628
E01000791,63,52,21,6,1303
E01000792,50,112,25,9,946
E01000793,50,6,42,14,1477
E01000794,49,23,27,16,1438
E01000795,35,40,50,2,1285
E01000807,67,29,46,7,1383
E01000808,106,19,31,7,1441
E01000809,29,35,20,7,1426
E01000810,62,17,34,5,1385
E01000811,68,9,32,5,1206
E01000812,111,26,24,8,1328
E01000813,102,31,20,6,1451
E01000814,125,18,24,3,1361
E01000815,52,28,29,11,1417
E01000827,169,59,53,31,1380
E01000831,116,30,50,28,1416
E01000834,46,30,42,4,1206
E01024158,74,8,12,4,1462
E01024159,43,6,17,0,1511
E01024160,59,14,15,2,1345
E01024413,18,6,17,3,1579
E01024414,17,4,20,4,1521
E01024415,19,11,11,3,1314
E01024416,17,2,39,2,1645
E01024417,23,4,15,0,1516
E01024418,41,3,17,6,1320
E01024419,6,4,27,3,1708
E01024421,11,13,26,1,1858
E01024422,46,10,32,12,1758
E01024423,76,2,39,14,1590
E01024424,14,5,23,6,1367
E01024425,15,1,23,4,1543
E01024426,20,13,26,8,1688
E01024427,11,3,12,3,1242
E01024428,14,0,18,2,1265
E01024429,27,8,38,1,1494
E01024430,15,5,29,1,1378
E01024431,22,7,16,0,1769
E01024432,10,11,38,1,1462
E01024433,15,16,24,3,1261
E01024435,11,1,11,0,1522
E01024436,15,9,18,0,1462
E01024437,21,4,14,3,1467
E01024438,47,9,9,2,1437
E01024439,15,4,26,3,1515
E01024440,29,2,32,6,1853
E01024441,28,3,14,1,1478
E01024442,28,3,9,5,1467
E01024443,52,0,14,2,1465
E01024444,39,4,9,7,1207
E01024448,32,4,9,1,1205
E01024449,15,1,15,2,1407
E01024450,3,1,7,0,1516
E01024451,17,3,33,1,2150
E01024452,6,8,13,1,1365
