geocode,all
E00092757,53.0
E00092758,51.0
E00092759,53.0
E00092760,59.0
E00092761,58.0
E00092762,48.0
E00092763,54.0
E00092764,47.0
E00092765,43.0
E00092766,61.0
E00092767,55.0
E00092768,42.0
E00092769,51.0
E00092770,51.0
E00092771,45.0
E00092772,43.0
E00092773,55.0
E00092774,47.0
E00092775,44.0
E00092776,45.0
E00092777,47.0
E00092778,56.0
E00092779,39.0
E00092780,35.0
E00092781,51.0
E00092782,37.0
E00092783,38.0
E00092784,39.0
E00092785,48.0
E00092786,50.0
E00092787,45.0
E00092788,42.0
E00092789,38.0
E00092790,46.0
E00092791,39.0
E00092792,45.0
E00092793,42.0
E00092794,30.0
E00092795,57.0
E00092796,33.0
E00092797,42.0
E00092937,51.0
E00092938,63.0
E00092943,48.0
E00092986,44.0
E00092992,46.0
E00092993,40.0
E00092998,46.0
E00093002,47.0
E00093003,45.0
E00093071,38.0
E00093072,36.0
E00093073,48.0
E00093074,33.0
E00093075,33.0
E00093076,44.0
E00093077,29.0
E00093078,30.0
E00093080,43.0
E00093081,35.0
E00093082,36.0
E00093083,34.0
E00093084,26.0
E00093085,34.0
E00093086,30.0
E00093087,31.0
E00093088,38.0
E00093089,42.0
E00093144,40.0
E00093145,41.0
E00093146,31.0
E00093147,63.0
E00093148,66.0
E00093149,42.0
E00093150,42.0
E00093151,42.0
E00093152,37.0
E00093153,31.0
E00093154,44.0
E00093155,23.0
E00093156,34.0
E00093157,32.0
E00093158,31.0
E00093159,28.0
E00093160,35.0
E00093161,40.0
E00093162,30.0
E00093163,30.0
E00093164,38.0
E00093165,34.0
E00093166,29.0
E00093167,35.0
E00093168,42.0
E00093169,40.0
E00093170,41.0
E00093171,34.0
E00093172,42.0
E00093173,45.0
E00093174,49.0
E00093175,48.0
E00093176,59.0
E00093177,51.0
E00093178,47.0
E00093179,52.0
E00093181,51.0
E00093182,32.0
E00093183,29.0
E00093184,32.0
E00093185,29.0
E00093186,31.0
E00093187,38.0
E00093189,28.0
E00093190,32.0
E00093191,28.0
E00093192,30.0
E00093193,36.0
E00093194,32.0
E00093195,30.0
E00093196,42.0
E00093197,46.0
E00093198,50.0
E00093199,43.0
E00093200,39.0
E00093201,49.0
E00093202,57.0
E00093203,43.0
E00093204,65.0
E00093205,47.0
E00093206,45.0
E00093207,43.0
E00093208,48.0
E00093209,43.0
E00093210,46.0
E00093211,46.0
E00093212,39.0
E00093213,45.0
E00093214,38.0
E00093215,37.0
E00093216,43.0
E00093217,44.0
E00093219,45.0
E00093220,46.0
E00093221,36.0
E00093222,32.0
E00093223,39.0
E00093224,33.0
E00093226,36.0
E00093229,34.0
E00093230,38.0
E00093233,39.0
E00093235,34.0
E00093236,30.0
E00093237,32.0
E00093238,38.0
E00093239,25.0
E00093240,37.0
E00093241,37.0
E00093242,39.0
E00093243,46.0
E00093244,38.0
E00093245,32.0
E00093246,25.0
E00093247,59.0
E00093249,42.0
E00093250,45.0
E00093251,39.0
E00093252,35.0
E00093253,32.0
E00093291,35.0
E00093292,31.0
E00093293,31.0
E00093294,63.0
E00093295,29.0
E00093296,30.0
E00093297,30.0
E00093298,42.0
E00093299,26.0
E00093300,43.0
E00093301,40.0
E00093302,28.0
E00093303,30.0
E00093304,31.0
E00093305,30.0
E00093306,26.0
E00093307,39.0
E00093308,28.0
E00093309,36.0
E00093323,48.0
E00093324,48.0
E00093325,42.0
E00093326,45.0
E00093327,46.0
E00093328,54.0
E00093329,47.0
E00093330,60.0
E00093331,47.0
E00093332,47.0
E00093333,46.0
E00093334,45.0
E00093335,56.0
E00093336,58.0
E00093337,35.0
E00093339,33.0
E00093341,31.0
E00093342,36.0
E00093344,38.0
E00093345,40.0
E00093346,36.0
E00093350,40.0
E00093351,49.0
E00093352,35.0
E00093353,45.0
E00093354,40.0
E00093355,38.0
E00093356,67.0
E00093357,44.0
E00093358,55.0
E00093359,48.0
E00093360,29.0
E00093361,47.0
E00093362,34.0
E00093363,61.0
E00093364,64.0
E00093365,58.0
E00093367,56.0
E00093368,40.0
E00093381,52.0
E00093382,44.0
E00093383,52.0
E00093384,49.0
E00093385,46.0
E00093386,44.0
E00093387,42.0
E00093388,63.0
E00093403,49.0
E00093416,33.0
E00093426,43.0
E00093430,39.0
E00093431,45.0
E00093432,55.0
E00093438,49.0
E00093439,47.0
E00093440,52.0
E00093441,46.0
E00093442,53.0
E00093443,42.0
E00150480,50.0
E00150481,42.0
E00150483,31.0
E00150485,43.0
E00150486,59.0
E00150487,46.0
E00150488,37.0
E00150489,47.0
E00150492,44.0
E00150493,40.0
E00150494,36.0
E00150495,45.0
E00150496,36.0
E00150497,47.0
E00150498,53.0
E00150499,44.0
E00150598,46.0
E00150599,44.0
E00150600,43.0
E00150601,49.0
E00150602,41.0
E00150603,41.0
E00150604,47.0
E00150605,52.0
E00150606,44.0
E00150607,56.0
E00150608,49.0
E00150609,48.0
E00150610,49.0
E00150793,28.0
E00150795,29.0
E00174343,28.0
E00174361,37.0
E00174380,29.0
E00174382,28.0
E00174383,27.0
E00174391,25.0
E00174392,43.0
E00174394,19.0
E00174402,36.0
E00174410,32.0
E00174411,41.0
E00174419,38.0
E00174420,40.0
E00174424,40.0
E00174425,39.0
