geocode,employee,inactive,self-employed,student,unemployed
E10000027,54771,30889,12494,2774,2911
E10000029,73319,32526,12029,3082,3867
E12000001,979078,651746,125645,62813,103248
E12000002,2665031,1667822,423805,183421,242386
E12000003,1999825,1225170,325414,136815,187747
E12000004,1772742,1023626,288581,110013,139159
E12000005,2091065,1288081,345831,133886,207372
E12000006,2229832,1174760,434203,123806,157755
E12000007,3103677,1733125,712829,248497,318434
E12000008,3403761,1753157,691572,209620,216231
E12000009,1972124,1115039,420742,121674,123297
