geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E00140262,68,6,12,0,1
E00140263,26,2,24,1,0
E00140264,10,9,27,1,0
E00140265,44,2,15,0,1
E00140266,61,1,13,0,0
E00140267,110,2,27,1,0
E00140268,11,11,46,5,0
E00140269,53,1,10,0,0
E00140270,41,0,12,1,0
E00140290,127,2,14,10,0
E00140291,129,1,9,4,0
E00140292,84,1,28,43,0
E00140293,49,2,42,1,0
E00140294,125,2,12,1,0
E00140295,120,4,21,0,0
E00140298,60,9,21,1,0
E00140299,115,2,10,3,0
E00140300,111,1,5,9,0
E00140301,111,0,25,4,2
E00140302,67,3,9,65,2
E00140303,97,4,28,8,0
E00140307,62,3,14,1,1
E00140321,72,5,26,4,1
E00140322,88,3,3,13,12
E00140323,48,1,6,44,1
E00140324,98,2,16,6,0
E00140325,84,0,20,17,0
E00140326,109,5,24,2,1
E00140327,59,3,11,5,0
E00140366,108,1,6,2,0
E00140367,109,3,12,2,0
E00140368,112,1,8,9,1
E00140369,108,2,24,0,0
E00140370,122,3,5,0,0
E00140371,127,4,6,0,0
E00140372,120,0,6,2,0
E00140373,122,3,14,6,0
E00140374,103,1,23,10,0
E00140375,15,6,6,87,0
E00140376,109,0,6,2,1
E00140377,77,4,5,22,0
E00140378,104,3,15,4,0
E00140379,97,1,19,1,0
E00140380,65,6,96,8,2
E00140381,85,6,22,25,1
E00140382,107,1,3,0,0
E00140383,120,1,1,1,0
E00140384,181,3,4,1,1
E00140385,126,2,1,1,0
E00140386,86,3,27,2,0
E00140387,97,2,13,0,2
E00140388,65,2,52,18,2
E00140389,101,2,8,1,0
E00140390,80,0,44,0,0
E00140391,81,1,12,58,0
E00140392,105,0,23,2,0
E00140393,71,1,19,28,0
E00140394,64,0,54,2,0
E00140395,65,1,39,8,0
E00140396,93,0,26,0,1
E00140397,75,3,5,57,2
E00140398,71,4,51,4,0
E00140399,46,5,7,62,0
E00140404,96,5,23,3,1
E00140405,96,4,17,37,1
E00140406,89,2,66,5,1
E00140407,52,4,67,5,1
E00140408,84,3,38,9,0
E00140414,99,7,45,25,3
E00140415,95,1,30,5,0
E00140416,48,2,21,48,3
E00140429,40,3,14,1,1
E00140431,33,5,14,3,1
E00140432,106,9,20,12,1
E00140434,141,2,8,2,1
E00140435,122,1,18,1,0
E00140436,127,0,12,2,1
E00141037,102,5,26,2,1
E00141038,143,5,23,9,0
E00141073,48,5,31,8,1
E00141075,54,2,17,71,0
E00141076,73,5,61,4,0
E00141081,104,4,8,16,2
E00141082,57,2,15,1,0
