geocode,employee,inactive,self-employed,student,unemployed
E01005355,662,328,62,28,49
E01005356,663,222,78,40,32
E01005357,596,381,83,16,26
E01005358,704,325,97,37,51
E01005361,626,457,108,40,32
E01005387,651,282,109,28,38
E01005388,541,292,84,27,36
E01005397,656,309,63,22,44
E01005410,642,304,180,39,26
E01005411,563,334,164,24,27
E01005412,712,337,167,34,45
E01005414,534,267,169,13,18
E01005415,408,289,86,21,22
E01005416,581,262,154,19,29
E01005417,603,341,136,25,35
E01005418,667,294,121,32,25
E01005420,656,361,126,24,43
E01005421,673,348,66,31,83
E01005422,461,338,35,25,105
E01005428,386,471,129,40,95
E01005432,411,431,39,44,104
E01005441,620,410,71,42,57
E01005442,669,299,94,25,33
E01005443,624,292,108,29,24
E01005444,661,310,77,36,51
E01005445,679,306,60,20,57
E01005446,602,306,84,29,45
E01005447,511,396,76,16,63
E01005448,435,414,56,18,106
E01005449,439,313,50,26,59
E01005450,452,428,101,29,98
E01005452,631,265,119,33,33
E01005453,577,244,99,25,36
E01005454,667,253,94,35,40
E01005455,751,271,85,32,53
E01005456,596,383,56,30,95
E01005516,600,286,104,27,34
E01005517,591,412,75,16,39
E01005518,537,336,97,29,56
E01005519,676,290,93,32,40
E01005520,702,381,107,30,65
E01005521,629,289,105,25,29
E01005522,570,270,63,16,54
E01005523,836,368,127,35,50
E01005557,479,333,73,21,27
E01005558,700,357,100,26,57
E01005561,611,285,94,21,23
E01005562,616,319,102,28,51
E01010868,564,390,92,24,116
E01010869,661,409,79,26,79
E01010870,662,352,95,37,33
E01010871,726,352,113,31,62
E01010872,547,421,57,27,80
E01010873,513,271,57,27,36
E01010875,684,343,121,32,23
E01010876,694,308,116,40,34
E01010877,655,321,78,25,47
E01010878,792,291,118,40,81
E01010879,799,386,148,31,42
E01010880,489,403,59,23,109
E01010881,635,304,207,27,54
E01010882,535,305,126,17,43
E01010883,566,297,223,27,30
E01010884,560,377,136,13,58
E01010885,609,287,133,18,28
E01010886,390,258,116,19,38
E01010888,600,313,210,24,53
E01010889,605,464,84,31,94
E01010890,822,345,112,28,82
E01010891,635,434,90,23,93
E01010892,892,317,113,39,46
E01010893,551,277,93,15,75
E01010894,631,344,74,27,93
E01010895,523,388,53,17,75
E01010896,719,309,149,26,30
E01010897,734,323,186,28,42
E01010898,753,272,136,28,63
E01010899,577,276,90,39,31
