geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E10000027,14934,17050,15566,15153,20126,19324,19517,7078,16114
E10000029,19993,18835,23821,22087,24302,19719,20102,7288,14333
E12000001,285763,314234,347964,307875,378919,342105,296905,110656,210126
E12000002,823979,868965,955810,879417,1036792,874495,781694,285423,543211
E12000003,625888,654713,729927,659174,764848,649050,577894,211220,410702
E12000004,517619,560270,584906,559221,675887,568528,523468,182501,358152
E12000005,681655,709916,744047,703192,810025,670656,615007,225869,440253
E12000006,669737,685294,691729,729335,843883,701230,646674,229716,478395
E12000007,1074169,928469,1462592,1460551,1166582,833181,599342,216280,431681
E12000008,1022293,1054559,1062344,1116482,1298054,1063599,959689,339405,718325
E12000009,553849,607919,624759,604002,744995,654307,639430,228384,486428
