geocode,female,male
E00082337,141,142
E00082338,137,149
E00082339,148,138
E00082340,159,165
E00082343,134,138
E00082344,158,164
E00082345,153,158
E00082346,150,123
E00082347,155,164
E00082350,64,58
E00114400,110,115
E00114470,154,146
E00117629,265,239
E00117630,199,183
E00117631,179,190
E00117632,181,147
E00117633,137,140
E00117634,156,150
E00117635,174,156
E00117636,181,158
E00117637,178,171
E00117638,168,156
E00117639,129,137
E00117640,177,161
E00117641,88,121
E00117642,182,189
E00117643,197,164
E00117644,179,183
E00117645,147,143
E00117646,124,147
E00117647,230,211
E00117648,171,165
E00117649,199,180
E00117650,153,140
E00117651,143,157
E00117660,140,137
E00117661,180,153
E00117662,154,172
E00117663,126,127
E00117666,143,134
E00117667,81,69
E00117668,158,142
E00117669,161,144
E00117670,143,138
E00117674,91,96
E00117675,145,139
E00117676,162,145
E00117677,141,144
E00117678,196,184
E00117679,197,199
E00117695,75,71
E00117696,106,82
E00117697,187,175
E00117698,161,153
E00117699,157,145
E00117700,129,126
E00117701,136,127
E00117702,141,148
E00117720,145,149
E00117721,135,151
E00117722,154,139
E00117723,131,82
E00117724,133,141
E00117725,143,121
E00117726,164,159
E00117781,178,170
E00117782,161,139
E00117783,179,150
E00117784,206,228
E00117785,167,162
E00117786,181,155
E00117787,203,220
E00117788,154,113
E00117789,157,169
E00117790,145,124
E00117791,268,275
E00117792,145,139
E00117793,205,207
E00117794,195,203
E00117795,194,193
E00117796,196,198
E00117797,139,136
E00117798,256,258
E00117799,170,153
E00117800,169,169
E00117801,182,159
E00117802,181,182
E00117810,245,210
E00117811,193,202
E00117812,142,127
E00117813,239,211
E00117814,155,149
E00117815,144,140
E00117816,141,141
E00117817,187,170
E00117818,176,183
E00117819,187,186
E00117820,287,231
E00117821,129,117
E00117822,187,161
E00117823,194,202
E00117824,155,163
E00117825,178,165
E00117826,159,167
E00117827,97,95
E00117828,160,154
E00117829,164,164
E00117830,185,158
E00117831,187,160
E00117857,135,131
E00117858,121,116
E00117859,219,218
E00117862,91,95
E00117863,160,151
E00117864,146,151
E00117865,211,201
E00117866,164,176
E00117867,156,129
E00117868,167,156
E00117869,129,114
E00117870,161,152
E00117871,168,160
E00117872,165,157
E00117883,264,251
E00117884,123,106
E00117885,150,149
E00117886,170,158
E00117887,105,82
E00117888,146,145
E00117889,154,127
E00117890,168,150
E00117891,147,126
E00117892,109,106
E00117893,165,147
E00117894,195,220
E00117895,110,124
E00117896,141,149
E00117897,149,134
E00117898,159,174
E00117899,171,171
E00117900,169,170
E00117901,183,158
E00117902,168,158
E00117903,188,174
E00117904,117,94
E00117905,125,97
E00117906,144,144
E00117907,170,170
E00117908,205,199
E00117948,153,139
E00117949,152,157
E00117950,139,132
E00117951,148,155
E00117952,167,158
E00117953,136,102
E00117954,191,194
E00117955,149,125
E00117956,166,171
E00117957,170,160
E00117958,159,138
E00117959,204,204
E00117960,166,163
E00117961,202,176
E00117962,141,148
E00117963,166,163
E00117964,163,135
E00117965,159,183
E00117966,148,123
E00117967,123,156
E00117968,143,130
E00117969,185,155
E00117970,197,172
E00117971,156,172
E00117972,160,157
E00162396,91,88
E00162397,148,134
E00162398,138,116
E00162399,95,83
E00162400,171,163
E00162401,153,152
E00162402,124,126
E00162420,161,158
E00162421,186,174
E00162422,165,142
E00162423,99,112
E00162424,157,164
E00162425,136,118
E00162433,175,193
E00162434,147,146
E00162435,150,146
E00162436,252,259
E00162437,96,115
E00162488,191,167
E00162489,153,175
E00162490,165,164
E00162491,177,163
E00162492,154,142
E00162493,151,137
E00162494,123,134
E00162495,174,136
E00162496,194,170
E00162497,223,160
E00162523,133,120
E00162524,148,136
E00162525,122,128
E00162528,115,113
E00162587,193,188
E00162588,100,80
E00162589,175,173
E00162590,77,82
E00162591,102,108
E00162592,172,179
E00162593,103,104
E00162595,109,101
E00162596,161,149
E00162597,196,195
E00162600,206,217
E00162601,181,188
E00162602,215,218
E00162603,257,263
E00162604,181,176
E00162605,210,219
E00162606,190,173
E00162607,209,215
E00162608,288,279
E00162609,286,274
E00162610,222,235
E00162611,267,278
E00163129,134,153
E00163132,150,149
E00163136,170,170
E00163137,250,244
E00163138,211,200
E00166422,119,111
E00166423,97,483
E00166424,108,589
E00166425,157,160
E00166426,138,989
E00166427,124,128
E00166428,134,607
E00166429,82,528
E00166430,65,65
E00166431,136,785
E00166432,148,149
E00166433,119,110
E00166458,172,185
E00166466,218,237
E00168062,159,147
E00168063,139,160
E00168064,188,182
E00168065,170,175
E00168066,180,161
E00168067,165,169
E00168068,139,159
E00168076,184,171
E00168077,178,172
E00168078,166,171
