geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E02002722,914,1072,831,809,1141,1174,1425,489,889
E02003742,540,639,540,563,903,934,1060,426,700
E02003743,1287,1260,1637,1328,1283,1079,1054,404,841
E02003744,1277,1421,1789,1547,1753,1587,1386,546,1362
E02003745,1036,1121,861,1058,1412,1445,1391,480,886
E02003746,869,919,1006,1056,1193,888,870,388,646
E02003748,774,781,894,818,947,936,1036,360,884
E02003750,644,821,635,718,977,861,1025,412,940
E02003751,681,769,549,738,1048,914,921,333,527
E02005417,584,830,653,660,1124,1128,1140,413,764
E02005425,576,719,507,539,891,968,1157,356,625
E02005426,1114,1200,948,1088,1433,1179,1251,468,952
E02005428,608,837,636,581,945,1109,1660,662,1044
E02005429,377,483,351,325,629,850,1656,711,1133
E02005431,718,991,675,683,1113,1208,1496,512,988
E02005432,565,758,495,573,1076,1313,1487,502,746
E02005433,397,576,642,501,728,1051,1633,622,916
E02005435,707,744,694,610,891,984,1328,516,805
E02005436,730,803,736,699,1039,990,1275,511,893
E02005437,583,688,780,693,815,803,720,247,532
E02005438,654,745,548,655,873,770,978,389,827
E02005440,516,630,423,474,762,781,885,328,564
E02005466,554,787,492,596,994,918,1052,398,716
E02005467,684,767,756,778,947,831,884,466,997
E02005472,952,1029,1000,999,1308,1194,1459,625,1262
E02005474,550,724,470,629,1021,995,1104,375,678
E02005503,694,736,843,739,952,960,1068,360,759
E02005504,810,976,650,741,1245,1292,1524,540,957
E02005505,789,902,696,754,1031,839,910,345,918
E02005506,666,825,649,691,989,910,978,423,718
E02005507,1320,1296,1462,1437,1538,1186,1449,591,1146
E02005508,644,739,506,641,987,984,1131,352,656
E02005509,658,682,754,640,804,903,1048,499,1270
E02005510,565,712,464,565,875,898,1262,433,867
E02005511,638,722,797,694,930,744,1059,467,1151
E02005512,945,981,1216,1089,1413,1143,1114,364,545
E02005513,925,1073,1047,1072,1334,1014,1100,413,1031
E02005514,637,686,588,672,963,913,1089,354,652
E02005520,654,759,527,714,968,1039,1325,422,970
E02005521,906,1056,722,860,1298,1238,1367,384,688
E02005522,524,608,396,581,835,748,744,275,591
E02005523,900,1000,656,943,1337,1080,1027,321,473
E02005524,519,623,457,585,852,782,808,339,477
E02005525,1064,1383,955,1262,1758,1308,1132,439,841
E02005526,611,662,505,700,910,609,643,269,580
E02005527,848,997,633,924,1247,1055,1190,448,887
E02005528,902,886,871,1135,1226,1028,1143,390,877
E02005529,427,552,505,471,819,803,873,422,935
E02005530,423,549,481,517,759,699,765,307,650
E02005531,516,673,579,621,860,776,637,261,560
E02005532,487,595,602,653,899,908,1162,524,1028
E02005533,832,914,638,803,1237,1201,1330,451,831
E02005534,658,805,520,812,1115,972,946,415,1053
E02005535,938,867,835,1069,1184,905,689,225,548
E02005536,457,649,445,544,937,851,914,309,684
E02005537,626,682,500,609,889,809,943,332,679
E02005538,688,1003,616,755,1247,1384,1727,570,1128
E02005539,628,905,705,692,1107,1096,1291,381,739
E02005540,739,943,791,818,1182,1166,1608,620,1209
E02005541,598,852,706,567,855,714,811,294,681
E02005542,839,803,1152,804,931,785,750,238,564
E02005543,1294,1148,1485,1115,1149,920,812,269,489
E02005544,1115,966,1269,927,929,753,649,206,320
E02005545,587,789,605,709,910,846,942,367,693
E02005546,908,965,1174,821,1057,938,927,353,745
E02005547,1090,1124,1157,976,1233,1070,1055,442,856
E02005548,821,988,857,759,925,851,816,339,900
E02005549,488,611,500,506,840,888,960,282,404
E02005550,663,728,656,691,994,812,991,385,786
E02005551,331,446,371,350,564,676,1056,435,1191
E02005552,576,573,497,590,846,1037,1442,529,982
E02005553,627,739,546,677,1031,1103,1842,707,1510
E02005554,534,666,445,575,884,914,1300,529,1049
E02005555,706,844,541,644,1035,996,1034,378,730
E02005556,825,924,920,906,1115,1022,943,352,674
E02005557,907,814,1135,781,782,570,510,195,378
E02005558,599,898,572,656,1027,1013,1059,394,651
E02005559,731,956,972,833,1006,884,738,269,633
E02005560,1271,1042,1524,1324,1127,823,684,264,447
E02005561,1181,927,1839,1358,1309,1096,937,368,817
E02005562,611,757,535,674,1111,986,1216,396,722
E02005563,711,962,650,703,1174,1074,1119,387,668
E02005564,1231,964,1706,1237,1286,1127,1291,488,940
E02005565,760,833,730,769,1106,916,969,349,592
E02005566,955,1103,869,920,1487,1324,1423,527,919
E02005567,1006,966,1074,1049,1202,1016,1228,681,1772
E02005568,691,766,568,727,1065,1060,1119,472,721
E02005569,978,905,860,925,1147,1048,1058,358,652
E02005570,567,669,585,532,783,903,1338,580,1410
E02005571,404,553,414,442,653,907,1138,464,977
E02005572,626,561,836,660,871,1000,1334,475,1320
E02005573,403,711,325,348,557,644,1032,457,1227
E02005574,456,680,512,513,863,1064,1276,494,899
E02005575,566,825,471,491,1000,1047,1309,442,830
E02005576,523,679,470,467,813,941,1314,480,960
E02005577,589,648,567,517,839,864,968,358,598
E02005578,556,610,553,573,841,795,898,314,588
E02005579,1276,1423,1340,1230,1680,1481,1720,748,1736
E02005580,720,803,842,771,926,979,1065,432,1079
E02005581,681,718,806,796,1186,1245,1290,344,638
E02005582,579,695,582,608,887,969,1033,388,761
E02005583,531,733,518,560,962,1249,1735,633,1354
E02005584,1419,1145,1898,1703,1420,1156,924,331,600
E02005585,1605,1260,1956,1679,1400,969,847,334,605
E02005586,1150,802,2280,2134,1273,893,707,240,455
E02005587,1219,1122,1297,1259,1317,1067,994,477,1103
E02005588,1729,1408,2427,1677,1383,1180,946,287,646
E02005589,1653,1406,2445,1624,1456,1088,913,330,589
E02005590,716,535,2470,1614,1128,997,943,343,895
E02005592,866,830,2814,1442,1147,936,672,183,407
E02005593,788,2720,2936,780,833,642,584,268,728
E02005594,774,819,2559,1552,1229,1159,1034,317,961
E02005595,763,924,934,822,1154,1188,1257,455,1284
E02005596,1181,1067,1351,1295,1243,975,898,324,992
E02005597,1485,1179,1797,1658,1680,1423,1499,582,1160
E02005598,909,871,696,961,1146,984,1047,406,749
E02005599,595,646,481,666,802,737,842,297,625
E02005600,627,1291,397,544,861,823,880,270,523
E02005601,508,602,523,599,867,707,842,299,767
