geocode,all
E02002805,25.55
E02002809,11.63
E02002827,12.92
E02002828,20.55
E02002829,34.53
E02002830,25.67
E02002831,54.63
E02002832,60.27
E02002833,95.44
E02002834,30.81
E02002835,34.05
E02002836,79.58
E02002837,66.29
E02002838,42.08
E02002839,52.64
E02002842,97.37
E02002843,134.24
E02002844,123.99
E02002845,46.51
E02002846,26.72
E02002847,74.13
E02002848,211.98
E02002849,98.62
E02002851,25.13
E02002852,34.24
E02002853,90.89
E02002854,55.38
E02002855,44.15
E02002856,44.87
E02002857,40.31
E02002858,35.37
E02002860,24.03
E02002861,47.56
E02002862,61.02
E02002863,0.54
E02002864,1.63
E02002865,14.7
E02002866,0.88
E02002867,0.75
E02002868,36.67
E02002869,25.41
E02002871,45.08
E02002872,35.75
E02002873,56.24
E02002874,42.79
E02002875,54.34
E02002876,35.13
E02002877,50.03
E02002878,55.07
E02002879,62.24
E02002880,72.76
E02002881,31.37
E02002882,40.92
E02002883,52.85
E02002884,97.24
E02002885,109.34
E02002886,37.44
E02002887,30.33
E02002888,58.77
E02002889,62.73
E02002890,93.91
E02002891,33.72
E02002892,35.37
E02002893,106.86
E02002894,23.26
E02002895,68.88
E02002896,34.32
E02002897,30.38
E02002898,20.95
E02002899,34.59
E02002901,28.01
E02002902,30.17
E02002903,22.91
E02002904,47.87
E02003237,2.41
E02003238,29.79
E02003239,1.9
E02003240,0.97
E02003241,0.64
E02003242,26.5
E02003243,26.94
E02003244,44.51
E02003245,36.82
E02003246,37.59
E02003247,38.53
E02003248,54.74
E02003249,12.11
E02003250,46.07
E02003251,12.5
E02003252,41.42
E02003253,30.97
E02003254,2.15
E02003255,8.69
E02003257,34.38
E02003747,10.38
E02003749,0.65
E02003753,3.48
E02003754,0.7
E02004029,15.2
E02004031,10.94
E02004032,13.09
E02004033,8.33
E02004036,17.8
E02004040,7.49
E02004041,30.97
E02004045,4.3
E02004046,2.57
E02004047,6.44
E02004048,4.1
E02004049,7.4
E02004050,22.18
E02004051,3.14
E02004052,2.37
E02004053,14.12
E02004054,9.87
E02004056,7.36
E02004057,7.84
E02004059,11.76
E02004060,11.13
E02004078,29.58
E02004080,32.81
E02004082,3.51
E02004083,25.69
E02004084,23.62
E02004085,5.05
E02004086,8.56
E02004087,46.59
E02004088,22.2
E02004089,37.92
E02004090,4.96
E02004091,13.42
E02004092,31.87
E02004105,15.03
E02004111,2.23
E02004113,7.42
E02004115,8.71
E02004117,2.27
E02004121,1.56
E02005334,35.81
E02005335,2.94
E02005336,28.95
E02005337,38.9
E02005338,6.96
E02005339,14.75
E02005340,14.78
E02005341,7.9
E02005342,3.12
E02005343,4.52
E02005344,3.04
E02005345,6.99
E02005346,14.62
E02005347,52.52
E02005348,16.0
E02005349,7.66
E02005350,7.25
E02005351,48.26
E02005352,0.78
E02005353,26.86
E02005354,9.5
E02005355,5.78
E02005356,5.86
E02005357,9.0
E02005358,14.78
E02005359,1.69
E02005360,1.29
E02005361,12.73
E02005362,35.34
E02005363,11.78
E02005364,50.84
E02005365,20.72
E02005366,13.13
E02005368,0.28
E02005369,1.91
E02005370,8.95
E02005371,1.01
E02005372,0.64
E02005377,2.53
E02005378,6.66
E02005379,6.55
E02005380,0.89
E02005381,1.82
E02005382,12.25
E02005383,10.57
E02005385,13.47
E02005386,46.72
E02005387,21.76
E02005388,38.88
E02005389,16.91
E02005390,9.64
E02005391,0.59
E02005392,10.68
E02005393,0.74
E02005394,11.81
E02005395,13.08
E02005396,0.33
E02005397,1.86
E02005398,1.59
E02005400,7.76
E02005403,13.06
E02005405,4.22
E02005406,27.8
E02005407,8.05
E02005409,4.88
E02005412,20.4
E02005414,41.24
E02005415,23.7
E02005416,12.71
E02005418,34.21
E02005419,25.27
E02005420,33.58
E02005422,0.5
E02005423,1.16
E02005430,0.24
E02005434,6.23
E02005439,2.07
E02005441,0.37
E02005442,48.9
E02005443,37.58
E02005444,17.84
E02005445,28.66
E02005446,45.51
E02005447,19.79
E02005448,37.89
E02005449,13.64
E02005450,22.25
E02005451,44.04
E02005452,32.04
E02005453,5.78
E02005455,0.97
E02005456,3.75
E02005457,0.79
E02005458,0.55
E02005459,0.57
E02005460,1.0
E02005461,0.43
E02005462,10.12
E02005463,9.14
E02005464,0.54
E02005465,0.93
E02005468,0.72
E02005469,0.61
E02005470,21.53
E02005471,5.34
E02005473,9.34
E02005475,0.86
E02005476,0.57
E02005477,0.87
E02005478,32.81
E02005479,22.69
E02005480,32.65
E02005481,16.1
E02005482,0.48
E02005483,0.57
E02005484,0.47
E02005485,7.33
E02005486,2.58
E02005487,0.69
E02005488,4.93
E02005489,4.39
E02005490,32.53
E02005491,20.5
E02005498,0.68
E02005499,0.9
E02005500,0.86
E02005501,2.03
E02005502,0.82
E02005612,1.69
E02005613,41.98
E02005614,2.51
E02005615,37.37
E02005616,26.43
E02005629,0.39
E02005630,0.72
E02005819,3.89
E02005820,41.63
E02005821,12.87
E02005822,25.72
E02005823,36.87
E02005824,29.41
E02005825,5.44
E02005826,43.74
E02005827,6.13
E02005828,4.17
E02005829,11.44
E02005830,6.37
E02005831,17.26
E02005832,54.31
E02005833,13.97
E02005834,16.98
E02005839,15.94
E02005840,24.37
E02005842,9.11
E02005843,7.46
E02005844,13.76
E02005846,38.65
E02005847,14.69
E02005848,0.64
E02005849,0.57
E02005850,5.76
E02005851,30.35
E02005852,8.85
E02005853,10.24
E02005856,15.85
E02005857,35.67
E02005858,51.59
E02005859,35.56
E02005860,48.4
E02005861,21.86
E02005862,32.26
E02005863,13.87
E02005864,21.35
E02005865,2.17
E02005866,3.31
E02005868,28.68
E02005869,31.92
E02005870,52.34
E02005871,34.6
E02005872,2.88
E02005873,42.26
E02005874,36.7
E02005875,17.04
E02005876,36.63
E02005877,53.39
E02005878,48.79
E02005879,22.73
E02005880,3.44
E02005881,5.39
E02005882,20.1
E02005883,14.04
E02005884,19.57
E02005885,11.96
E02005886,22.5
E02005887,33.32
E02005888,37.97
E02005889,36.48
E02005890,42.48
E02005891,8.3
E02005892,16.72
E02005893,2.88
E02005894,2.9
E02005895,0.5
E02005896,0.72
E02005897,0.84
E02005898,4.4
E02005899,14.33
E02005900,3.05
E02005901,24.07
E02005902,32.67
E02005903,14.42
E02005904,0.87
E02005905,1.34
E02005906,0.82
E02005907,6.58
E02005908,4.04
E02005909,47.45
E02005910,54.81
E02005911,8.45
E02005912,23.83
E02005913,16.9
E02005914,4.88
E02005915,0.66
E02005916,6.25
E02005917,1.13
E02005918,9.03
E02005919,1.4
E02005920,1.42
E02006803,15.11
E02006804,7.8
E02006815,43.61
E02006816,3.0
E02006817,37.72
E02006818,47.48
E02006819,39.87
E02006820,19.03
E02006827,5.24
E02006828,36.06
E02006834,57.83
E02006835,5.32
E02006850,84.78
E02006851,48.32
E02006864,2.31
E02006865,7.53
E02006866,17.42
E02006867,13.32
E02006877,11.16
E02006878,8.02
E02006903,40.97
E02006904,33.41
E02006905,31.6
E02006906,5.61
E02006911,26.98
