geocode,all
E00014739,48.54
E00014740,76.4
E00014744,64.76
E00014745,60.1
E00014746,71.11
E00014749,79.23
E00014752,20.61
E00014753,30.05
E00014754,60.22
E00014755,45.73
E00014756,16.87
E00014757,90.33
E00014758,53.02
E00014760,94.81
E00014761,77.39
E00014762,36.41
E00014763,77.34
E00014861,13.51
E00014862,41.56
E00014863,27.99
E00014866,18.3
E00014869,44.88
E00014870,30.33
E00014871,42.63
E00014872,14.48
E00014881,7.28
E00014890,83.92
E00014894,94.59
E00014895,91.15
E00014897,125.2
E00014898,90.0
E00014901,20.22
E00014905,39.94
E00014910,44.79
E00014912,81.13
E00014915,79.57
E00016972,89.25
E00016973,93.15
E00016974,142.19
E00016975,117.32
E00016976,80.57
E00016977,102.55
E00016978,121.68
E00016979,118.26
E00016980,147.67
E00016981,136.12
E00016982,149.71
E00016983,57.45
E00016984,162.22
E00016985,122.91
E00016986,150.54
E00016987,126.54
E00016988,103.69
E00016989,132.56
E00016990,93.09
E00016991,121.84
E00016992,208.63
E00016993,97.86
E00016994,133.94
E00016995,102.84
E00016996,260.61
E00016997,12.26
E00016998,157.99
E00016999,111.93
E00017000,19.54
E00017001,113.98
E00017002,12.9
E00017003,125.4
E00017004,106.67
E00017005,141.49
E00017006,146.07
E00017007,110.11
E00017008,88.67
E00017016,48.87
E00017017,60.46
E00017018,76.81
E00017019,80.86
E00017020,43.39
E00017021,9.03
E00017022,77.26
E00017023,72.65
E00017024,76.69
E00017025,65.55
E00017026,93.68
E00017027,56.44
E00017028,10.86
E00017029,63.87
E00017030,73.64
E00017031,64.34
E00017032,84.97
E00017036,177.47
E00017045,168.42
E00017046,168.42
E00017049,177.48
E00017050,196.12
E00017052,177.51
E00017055,247.62
E00017057,42.29
E00017060,61.13
E00017069,100.91
E00017071,64.6
E00017074,103.63
E00017076,54.41
E00017077,109.61
E00017078,150.54
E00017079,115.61
E00017080,60.48
E00017083,205.84
E00017086,148.2
E00017087,230.46
E00017093,123.83
E00017094,47.52
E00017095,166.67
E00017102,101.92
E00017103,61.17
E00017104,100.0
E00017105,102.67
E00017106,124.29
E00017107,48.26
E00017108,92.99
E00017109,140.62
E00017110,105.79
E00017111,155.66
E00017112,95.32
E00017113,109.13
E00017114,121.68
E00017115,114.8
E00017116,113.9
E00017117,118.18
E00017118,50.68
E00017119,31.13
E00017120,104.33
E00017121,123.53
E00017122,49.45
E00017123,174.85
E00017124,123.88
E00017125,128.44
E00017126,49.52
E00017127,154.61
E00017128,60.88
E00017129,100.62
E00017130,34.8
E00017131,94.13
E00017132,61.1
E00017133,73.49
E00017134,62.63
E00017135,114.56
E00017196,81.99
E00017197,54.75
E00017198,76.87
E00017199,78.13
E00017200,59.95
E00017201,88.99
E00017202,85.67
E00017203,97.85
E00017204,87.36
E00017205,71.26
E00017206,71.52
E00017207,109.09
E00017208,121.97
E00017209,71.82
E00017210,96.95
E00017211,128.69
E00017212,143.24
E00017213,80.17
E00017214,34.17
E00017215,132.12
E00017216,182.14
E00017217,65.08
E00017218,80.18
E00017219,93.24
E00017220,120.9
E00017221,84.03
E00017222,85.45
E00017223,83.93
E00017224,108.17
E00017225,52.99
E00017226,55.61
E00017227,53.16
E00017228,45.47
E00017229,34.85
E00017230,74.07
E00017231,96.3
E00017233,98.25
E00017236,124.51
E00017238,133.99
E00017239,145.83
E00017248,122.53
E00017251,75.08
E00017258,150.46
E00017261,41.91
E00017264,170.31
E00017322,51.75
E00017323,47.24
E00017324,33.08
E00017325,38.86
E00017326,50.68
E00017327,68.78
E00017328,59.4
E00017329,23.91
E00017330,55.31
E00017331,60.65
E00017332,21.15
E00017333,55.61
E00017334,82.39
E00017335,38.83
E00017336,38.26
E00017337,63.92
E00017338,127.42
E00017339,80.22
E00017341,55.05
E00017342,112.06
E00017343,46.07
E00017344,130.77
E00017345,125.77
E00017346,151.26
E00017347,53.04
E00017348,26.32
E00017349,110.55
E00017350,102.3
E00017351,68.86
E00017382,98.37
E00017393,13.24
E00017394,13.43
E00017395,25.11
E00017396,94.57
E00017397,90.54
E00017413,38.23
E00017414,47.68
E00017415,99.64
E00017416,42.88
E00017417,38.82
E00017418,83.41
E00017419,81.59
E00017420,95.56
E00017421,71.85
E00017422,44.52
E00017423,35.19
E00017424,84.62
E00017425,40.39
E00017426,61.71
E00017427,90.38
E00017428,85.88
E00017429,98.12
E00017430,99.35
E00017431,56.3
E00017432,100.36
E00017433,27.37
E00017434,72.59
E00017435,628.57
E00017436,46.03
E00017437,47.95
E00017438,20.98
E00017439,54.33
E00017440,159.69
E00017441,63.17
E00017442,20.89
E00017443,19.59
E00017444,131.06
E00017445,98.71
E00017446,49.37
E00017478,44.49
E00017479,42.94
E00017480,74.49
E00017481,89.47
E00017482,50.86
E00017483,89.63
E00017484,156.29
E00017485,129.71
E00017486,137.97
E00017487,136.59
E00017488,164.02
E00017489,46.29
E00017490,104.02
E00017491,102.22
E00017492,103.07
E00017493,90.51
E00017494,53.59
E00017495,114.25
E00017497,109.36
E00017498,72.19
E00017499,75.16
E00017500,98.66
E00017501,105.59
E00017502,144.74
E00017503,113.52
E00017504,86.75
E00017505,105.99
E00017506,107.49
E00017507,142.34
E00017508,170.39
E00017509,142.78
