geocode,employee,inactive,self-employed,student,unemployed
E02002722,2591,2550,630,97,405
E02003742,2210,1687,534,65,173
E02003743,3902,2355,445,162,423
E02003744,5068,2728,705,230,502
E02003745,3445,2378,815,124,306
E02003746,3143,1816,433,147,232
E02003748,2793,1744,431,96,226
E02003750,2479,1683,496,111,185
E02003751,2526,1415,612,83,146
E02005417,2550,1998,618,113,160
E02005425,2235,1666,582,102,133
E02005426,3612,2308,469,182,270
E02005428,1923,3115,511,81,293
E02005429,1233,2868,376,60,193
E02005431,2474,2427,827,123,229
E02005432,2414,2118,993,96,128
E02005433,1919,2694,498,52,257
E02005435,2180,2299,480,90,298
E02005436,2425,2229,656,71,201
E02005437,2000,1506,403,87,375
E02005438,1860,1892,427,107,224
E02005440,1576,1602,484,51,162
E02005466,2296,1714,509,69,186
E02005467,2596,1624,396,92,235
E02005472,3418,2504,653,116,305
E02005474,2269,1666,677,76,180
E02005503,2766,1538,688,105,144
E02005504,2960,2221,880,131,164
E02005505,2610,1548,430,147,210
E02005506,2562,1566,573,135,142
E02005507,4545,2415,631,194,389
E02005508,2411,1525,732,118,111
E02005509,2381,1874,381,91,194
E02005510,2248,1728,559,87,140
E02005511,2672,1676,357,100,174
E02005512,3186,2295,880,102,248
E02005513,3661,1819,576,141,196
E02005514,2510,1552,545,82,151
E02005520,2634,1788,631,87,158
E02005521,3127,1802,1023,143,160
E02005522,1952,1085,578,99,96
E02005523,3085,1539,829,142,154
E02005524,2262,1189,440,109,80
E02005525,4326,1904,713,242,175
E02005526,2258,1043,374,121,91
E02005527,3057,1784,725,153,143
E02005528,3611,1650,569,154,166
E02005529,2208,1341,381,117,96
E02005530,2110,1096,377,104,85
E02005531,2343,1052,398,107,120
E02005532,2711,1589,494,123,95
E02005533,3092,1905,727,131,149
E02005534,2875,1476,466,142,139
E02005535,3169,1225,552,139,154
E02005536,2235,1236,520,114,131
E02005537,2235,1369,510,94,122
E02005538,2999,2493,785,161,260
E02005539,2740,1826,721,119,194
E02005540,3097,2481,572,189,266
E02005541,1969,1567,326,126,305
E02005542,2349,1722,342,115,475
E02005543,2497,2384,406,134,796
E02005544,2624,1607,304,122,474
E02005545,2620,1395,388,125,133
E02005546,2827,1980,344,121,381
E02005547,3340,2033,513,151,353
E02005548,2377,1841,282,128,314
E02005549,2202,1342,455,106,138
E02005550,2570,1545,406,108,169
E02005551,1349,1624,475,60,138
E02005552,2113,1918,895,77,159
E02005553,2510,2639,767,115,157
E02005554,2239,1877,547,110,132
E02005555,2715,1468,499,150,113
E02005556,3410,1508,419,183,140
E02005557,2203,1474,202,107,322
E02005558,2580,1685,542,124,155
E02005559,2833,1468,386,158,263
E02005560,3767,1540,360,171,319
E02005561,4116,2159,456,155,453
E02005562,2630,1737,619,108,121
E02005563,2622,1811,738,106,197
E02005564,4425,2138,668,131,197
E02005565,2694,1599,577,123,185
E02005566,3307,2411,888,130,255
E02005567,3362,2321,525,136,264
E02005568,2638,1733,707,89,152
E02005569,2970,1777,706,111,179
E02005570,2020,2080,665,84,126
E02005571,1602,1637,807,73,110
E02005572,2407,2122,556,80,244
E02005573,1387,1643,503,55,92
E02005574,2089,1886,793,96,150
E02005575,2192,1783,873,86,137
E02005576,1909,1908,651,76,197
E02005577,2033,1413,734,83,116
E02005578,2123,1281,606,60,141
E02005579,4409,3018,786,188,369
E02005580,2888,1699,500,108,171
E02005581,2712,2150,814,96,175
E02005582,2238,1637,595,83,181
E02005583,2468,2377,787,100,195
E02005584,4591,2083,547,240,489
E02005585,4117,2326,462,216,577
E02005586,4965,1718,630,227,369
E02005587,3488,2414,456,164,379
E02005588,4162,2991,444,507,435
E02005589,4054,2846,563,512,500
E02005590,3906,2466,587,325,535
E02005592,3774,2100,705,824,205
E02005593,2031,4471,285,1268,239
E02005594,4230,2446,710,534,306
E02005595,3101,2054,606,255,167
E02005596,3481,1984,485,197,383
E02005597,5198,2516,874,214,318
E02005598,3062,1624,651,155,124
E02005599,2245,1212,401,102,112
E02005600,2046,1347,585,176,95
E02005601,2219,1262,356,103,131
E02005602,3800,2236,989,192,159
E02005603,3619,1540,659,179,165
E02005604,2903,1876,770,157,131
E02005605,4178,2029,895,193,151
E02005606,2031,1271,610,79,130
E02005607,4346,2240,1052,178,213
E02006302,2383,2128,524,116,145
E02006303,2520,1952,327,161,383
E02006304,2566,2046,375,115,166
E02006907,2610,950,368,107,236
E02006908,2508,1081,381,89,240
