geocode,bad,fair,good
E01008881,133,249,1217
E01008882,153,285,1309
E01008883,112,280,1424
E01008884,109,246,1515
E01008885,69,196,1043
E01008886,114,266,1184
E01008887,110,217,1151
E01008888,74,199,1385
E01008889,107,246,1422
E01008890,102,257,1375
E01008891,108,195,1257
E01008892,105,191,1231
E01008893,84,255,1377
E01008894,154,285,973
E01008895,90,220,1512
E01008896,107,239,1229
E01008897,115,273,1298
E01008898,125,248,1301
E01008917,72,155,1108
E01008918,158,286,1282
E01008919,117,224,1236
E01008920,64,171,1154
E01008921,106,229,1091
E01008923,149,219,979
E01008924,99,259,1069
E01008925,48,169,1084
E01008927,118,230,1042
E01008928,149,278,1058
E01008929,137,273,1069
E01008930,94,168,1236
E01008931,130,224,1085
E01008932,143,255,1146
E01008933,99,218,1239
E01008934,81,189,1135
E01008935,175,313,1187
E01008936,94,285,1189
E01008937,151,247,1028
E01008938,117,230,1246
E01008939,119,286,1138
E01008940,171,228,1139
E01008941,132,255,1135
E01008942,114,199,1286
E01008943,109,237,1112
E01008944,117,270,1329
E01008945,125,227,1483
E01008946,119,264,1102
E01008947,78,199,1115
E01008948,79,246,1134
E01008949,62,173,1027
E01008950,130,268,1033
E01008951,70,173,1184
E01008952,100,156,1339
E01008953,106,226,1232
E01008954,73,217,1067
E01008955,74,192,1267
E01008956,109,179,1225
E01008957,90,195,1373
E01008958,144,299,1111
E01008959,105,291,1363
E01008960,70,145,1391
E01008961,93,211,1191
E01008962,127,271,1509
E01008963,74,216,1081
E01008964,136,238,1099
E01008965,77,197,1255
E01008966,163,239,1286
E01008967,70,249,1368
E01008968,71,216,1420
E01008969,86,186,1374
E01008970,84,206,1251
E01008971,98,232,1361
E01008972,158,271,1361
E01008973,110,274,1522
E01008974,100,252,2529
E01008975,102,245,1202
E01008976,130,239,1172
E01008977,130,204,1240
E01008978,180,280,933
E01008979,180,337,1088
E01008980,158,280,1188
E01008981,112,183,1243
E01008982,58,160,1257
E01008984,134,243,1713
E01008986,82,187,1532
E01008987,113,201,1226
E01008988,89,208,1740
E01008989,88,248,1406
E01008990,34,106,1031
E01008991,50,153,1312
E01008992,38,131,1631
E01008994,74,213,1408
E01008995,154,246,1416
E01008996,144,243,1184
E01008997,81,167,1197
E01009014,126,270,1627
E01009015,111,259,1366
E01009016,197,306,1056
E01009017,103,251,1315
E01009018,115,270,1288
E01009019,144,247,1220
E01009020,139,247,1125
E01009021,137,256,1227
E01009022,115,226,1408
E01009023,67,176,1430
E01009024,111,281,1231
E01009025,109,252,1153
E01009026,101,226,1251
E01009028,106,269,1415
E01009029,105,206,1237
E01009030,89,214,1172
E01009031,93,238,1324
E01009032,78,223,1493
E01009033,134,253,1383
E01009034,110,223,1358
E01009035,91,227,1494
E01009036,82,208,1224
E01009037,103,248,1269
E01009039,64,196,1445
E01009040,78,219,1450
E01009041,55,209,1397
E01009042,68,164,1147
E01009043,172,276,1523
E01009044,103,198,1323
E01009045,107,297,1308
E01009046,103,247,1450
E01009064,78,190,1209
E01009065,70,175,1471
E01009066,60,177,1271
E01009067,64,145,1271
E01009068,56,113,1374
E01009069,64,138,1362
E01009070,84,204,1390
E01009071,112,204,1299
E01009072,86,169,1344
E01009073,110,216,1288
E01009074,124,220,1328
E01009075,121,269,1244
E01009077,97,241,1368
E01009078,70,167,1196
E01009107,155,283,1303
E01009108,70,181,1090
E01009109,90,204,1074
E01009110,104,244,1217
E01009111,60,170,1157
E01009112,148,268,1092
E01009113,156,250,1112
E01009114,150,275,1146
E01009115,155,262,1000
E01009116,51,211,1164
E01009117,156,325,1579
E01009118,126,256,1087
E01009119,98,234,1107
E01009120,94,189,1155
E01009138,75,207,1364
E01009139,79,170,1334
E01009140,113,278,1524
E01009141,172,252,1336
E01009143,144,217,1058
E01009145,116,249,1616
E01009146,118,257,1548
E01009147,124,233,1326
E01009155,167,258,931
E01009157,188,251,1071
E01009158,128,251,1518
E01009159,91,226,1458
E01009160,134,249,1203
E01009161,127,240,1045
E01009162,90,202,1310
E01009163,99,228,1125
E01009164,89,215,1180
E01009165,101,204,1047
E01009166,63,171,1085
E01009167,62,198,1290
E01009168,102,210,1177
E01009169,107,221,1352
E01009170,74,219,1190
E01009171,113,220,1264
E01009172,105,228,1087
E01009173,143,257,1333
E01009174,107,179,969
E01009175,89,169,1212
E01009176,104,273,1273
E01009177,79,158,1341
E01009178,96,200,1298
E01009179,102,209,1409
E01009182,194,229,1201
E01009183,58,152,1394
E01009184,91,212,1303
E01009185,72,213,1349
E01009186,77,202,1422
E01009187,79,188,1305
E01009188,88,179,1256
E01009189,73,170,1253
E01009197,116,204,1359
E01009198,78,190,1493
E01009199,74,177,1164
E01009200,99,254,1359
E01009205,55,210,1266
E01009206,75,201,1348
E01009207,56,242,1361
E01009208,54,186,1291
E01009209,130,288,1710
E01009210,94,290,1471
E01009211,66,166,1210
E01009212,149,280,1249
E01009213,118,262,1106
E01009214,191,279,1182
E01009215,188,304,1158
E01009216,125,294,1572
E01009217,67,202,1361
E01009218,98,184,1245
E01009219,60,190,1314
E01009249,77,221,1288
E01009250,82,235,1298
E01009251,73,212,1214
E01009252,58,141,1339
E01009253,93,200,1247
E01009254,113,248,1197
E01009255,107,242,1204
E01009256,118,213,1234
E01009257,105,204,1213
E01009258,129,236,1161
E01009259,159,275,1173
E01009260,82,219,1234
E01009261,73,206,1328
E01009280,60,177,1080
E01009281,91,227,1111
E01009282,76,234,1338
E01009283,44,129,1303
E01009284,69,203,2015
E01009286,50,105,2057
E01009288,114,168,952
E01009289,45,119,1933
E01009290,34,72,1894
E01009291,92,210,1235
E01009292,47,175,1426
E01009293,52,188,1276
E01009294,112,232,1493
E01009295,68,203,1499
E01009296,78,150,1271
E01009299,142,264,1231
E01009301,165,295,1144
E01009302,148,275,1084
E01009303,150,251,1078
E01009312,81,223,1272
E01009313,85,248,1238
E01009314,145,288,1153
E01009315,176,300,1118
E01009316,123,247,1277
E01009317,116,260,1294
E01009318,70,202,1261
E01009319,69,192,1373
E01009320,69,221,1254
E01009321,201,321,1318
E01009322,148,231,1007
E01009323,147,228,1096
E01009324,101,264,1276
E01009325,136,255,1406
E01009326,146,262,1511
E01009327,120,221,1292
E01009328,197,372,1797
E01009329,217,358,1766
E01009331,167,285,1693
E01009332,168,247,1291
E01009333,100,201,1353
E01009334,142,270,1477
E01009335,115,269,1498
E01009337,138,245,1405
E01009338,122,231,1216
E01009339,135,214,1172
E01009340,143,343,2222
E01009341,109,224,1225
E01009342,157,240,1341
E01009343,105,228,1373
E01009344,118,216,1281
E01009362,108,195,1013
E01009363,141,279,1134
E01009364,116,196,1026
E01009365,158,316,1245
E01009366,132,203,1246
E01009367,164,272,1206
E01009368,149,214,1105
E01009371,121,263,1393
E01009372,140,233,1449
E01009373,161,249,1428
E01009374,121,184,842
E01009375,165,289,1478
E01009376,142,208,1324
E01009377,116,219,1035
E01009378,133,280,1652
E01009379,221,309,1139
E01009380,109,229,1362
E01009382,141,269,1426
E01009383,117,213,1122
E01009384,113,227,994
E01009385,115,175,1007
E01009389,147,269,1345
E01009390,123,247,1194
E01009391,101,199,1322
E01009392,115,241,1418
E01009393,93,242,1310
E01009394,94,229,1407
E01009395,115,248,1318
E01009396,160,311,1682
E01009397,161,236,1362
E01009399,109,204,1277
E01009477,144,265,1283
E01009493,123,200,1147
E01009494,142,243,1241
E01009495,85,207,933
E01009496,112,237,1132
E01009497,111,234,1422
E01009498,142,242,1252
E01009499,129,209,1402
E01009500,152,275,1109
E01009501,106,250,1208
E01009502,131,258,1119
E01009503,107,241,1193
E01009504,100,214,1157
E01009505,121,273,1268
E01009506,61,225,1208
E01009508,90,238,1220
E01009509,110,229,1408
E01009510,173,336,1097
E01009511,134,223,1129
E01009512,134,244,1238
