geocode,bad,fair,good
E02003184,286,769,6856
E02003185,411,929,6184
E02003186,430,996,7373
E02003187,463,1200,7447
E02003188,555,1365,8030
E02003189,523,1259,6590
E02003190,878,1512,7453
E02003191,451,1253,6291
E02003192,547,1389,8248
E02003202,309,779,5118
E02003203,334,936,6145
E02003204,496,1329,6865
E02003205,376,1110,6752
E02003206,392,1000,8204
E02003207,391,971,5737
E02003208,729,1538,8416
E02003209,370,919,4753
E02003210,334,1131,7641
E02003211,482,1363,6775
E02003584,388,1028,4817
E02003585,408,1090,5164
E02003586,506,1144,6014
E02003587,510,1344,6554
E02003588,737,1254,5472
E02003589,565,1393,6536
E02003590,407,1322,5721
E02003591,490,1325,7411
E02003592,671,1753,7058
E02003593,254,855,4199
E02003594,664,1467,7088
E02003595,492,1369,6224
E02003596,679,1565,6482
E02003597,348,853,4416
E02003598,600,1304,5825
E02004242,368,1191,4869
E02004265,475,1208,6587
E02004266,368,1005,7019
E02004267,243,723,4069
E02004268,565,1541,7495
E02004275,319,1078,6022
E02004276,367,1031,4277
E02004277,612,1576,8102
E02004278,405,1125,7240
E02004279,331,1131,6307
E02004280,434,1086,6089
E02004281,459,955,5902
E02004282,453,1428,6760
E02004283,518,1302,6849
E02004284,714,1567,7189
E02004285,476,1217,5772
E02004286,263,673,4255
E02004287,275,797,4499
E02004288,318,817,4508
E02004289,394,1046,5761
E02004801,420,1225,6002
E02006574,722,1981,8034
E02006883,405,855,4209
E02006885,335,991,5681
