geocode,bad,fair,good
E00010692,17,33,323
E00010696,18,36,295
E00010698,18,46,319
E00010699,13,39,331
E00010701,24,46,334
E00010704,15,38,328
E00010706,27,33,252
E00010726,10,30,278
E00010735,30,61,308
E00010754,26,51,319
E00010760,1,24,268
E00010761,30,50,244
E00010762,33,50,261
E00010763,16,38,339
E00010764,8,46,297
E00010765,19,39,163
E00010766,7,29,356
E00010767,13,63,179
E00010768,24,60,317
E00010769,13,26,360
E00010770,13,28,283
E00010771,10,36,251
E00010772,19,36,343
E00010773,39,96,253
E00010774,11,42,327
E00010775,28,66,318
E00010776,11,33,298
E00010777,28,51,325
E00010778,9,33,355
E00010779,5,25,288
E00010780,13,45,338
E00010781,11,37,275
E00010782,8,42,262
E00010783,4,34,305
E00010784,10,33,303
E00010785,16,36,237
E00010786,10,33,276
E00010787,22,41,265
E00010788,10,49,254
E00010789,10,34,289
E00010790,11,28,319
E00010791,12,37,293
E00010792,11,35,192
E00010793,18,44,355
E00010794,10,56,325
E00010795,17,38,326
E00010796,15,19,283
E00010797,11,32,301
E00010798,12,36,300
E00010799,13,38,335
E00010800,14,36,292
E00010801,17,54,405
E00010802,18,53,380
E00010803,12,35,306
E00010804,20,56,340
E00010805,10,44,304
E00010806,8,28,213
E00010807,26,44,347
E00010808,14,56,316
E00010809,25,49,204
E00010810,7,38,284
E00010811,19,58,290
E00010812,14,36,303
E00010813,13,30,216
E00010814,13,41,333
E00010815,17,43,346
E00010817,17,46,302
E00010818,18,37,294
E00010821,17,48,344
E00010823,10,42,287
E00010825,20,50,329
E00010826,30,52,365
E00010828,31,64,307
E00010829,20,40,360
E00010832,12,40,304
E00010833,18,44,406
E00010834,25,45,358
E00010836,12,37,279
E00010837,8,48,363
E00010843,16,54,345
E00010931,14,31,259
E00010932,14,68,267
E00010933,5,30,345
E00010934,7,33,254
E00010935,8,31,159
E00010936,7,36,309
E00010937,17,23,238
E00010938,26,47,237
E00010939,13,24,263
E00010940,17,60,230
E00010941,9,38,220
E00010942,6,37,297
E00010943,13,37,372
E00010944,8,30,242
E00010945,12,44,295
E00010946,12,47,287
E00010947,6,21,279
E00010948,6,31,283
E00010949,12,37,253
E00010950,11,35,263
E00010951,9,30,233
E00010952,17,39,227
E00010953,12,37,306
E00010954,25,53,268
E00010955,12,43,365
E00010956,28,45,199
E00010957,9,50,341
E00010958,16,45,229
E00010959,10,56,233
E00010960,18,49,184
E00010961,28,41,167
E00010962,26,45,216
E00010963,10,39,352
E00010964,12,32,350
E00010965,8,39,317
E00010966,9,33,273
E00010967,20,48,382
E00010968,4,22,329
E00010969,7,32,270
E00010970,7,25,362
E00010971,9,34,253
E00010972,18,28,279
E00010973,22,40,146
E00010974,6,31,375
E00010975,5,36,281
E00010976,10,44,299
E00010977,15,33,297
E00010978,14,32,229
E00010979,21,44,285
E00010980,6,38,328
E00010981,14,30,371
E00010982,13,43,226
E00010983,8,47,186
E00010984,8,37,350
E00010985,8,34,284
E00010986,13,30,260
E00010987,12,39,298
E00010988,8,37,344
E00010989,8,24,364
E00010990,6,26,301
E00010991,6,33,326
E00010992,8,38,331
E00011020,10,46,264
E00011021,5,40,275
E00011022,17,54,319
E00011023,15,39,360
E00011024,13,41,356
E00011025,16,47,273
E00011026,18,50,361
E00011027,18,42,333
E00011028,21,52,335
E00011029,18,37,230
E00011030,10,37,340
E00011031,13,33,226
E00011032,11,38,324
E00011033,24,52,354
E00011034,13,39,274
E00011035,15,40,273
E00011036,15,51,322
E00011038,13,58,377
E00011039,9,45,303
E00011040,15,32,384
E00011041,18,46,323
E00011042,16,50,284
E00011043,10,45,418
E00011044,15,33,300
E00011045,16,42,395
E00011046,14,75,427
E00011047,18,52,343
E00011048,10,41,330
E00011049,19,40,278
E00011052,23,60,380
E00011053,17,27,323
E00011055,10,49,395
E00011056,25,58,426
E00011057,32,42,234
E00011058,15,47,275
E00011059,20,33,366
E00011060,28,53,370
E00011061,25,52,452
E00011062,24,63,246
E00011063,18,39,292
E00011064,23,49,348
E00011065,6,33,279
E00011066,11,53,288
E00011067,19,43,341
E00011069,26,46,335
E00011070,32,61,171
E00011071,21,49,372
E00011078,41,54,334
E00011079,27,48,291
E00011081,25,44,220
E00011105,16,43,286
E00011106,23,33,331
E00011111,16,45,318
E00011173,17,24,283
E00011174,16,55,260
E00011175,10,32,352
E00011176,12,39,337
E00011177,16,44,307
E00011178,12,30,299
E00011179,19,35,291
E00011180,13,31,320
E00011183,11,38,293
E00011187,20,50,267
E00011193,11,46,277
E00011194,12,68,328
E00011197,10,35,382
E00011198,17,33,297
E00011199,10,62,311
E00011200,9,37,328
E00011201,5,37,336
E00012044,20,53,221
E00012045,20,20,288
E00012046,17,42,316
E00012047,10,45,269
E00012048,7,33,298
E00012049,15,39,206
E00012050,24,63,296
E00012051,10,29,280
E00012052,19,43,266
E00012053,8,37,312
E00012054,7,16,300
E00012055,9,28,278
E00012056,13,35,260
E00012057,23,39,303
E00012058,13,45,300
E00012061,8,35,308
E00012063,7,28,246
E00012064,12,34,286
