geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E00140262,15,38,9,13,47,34,34,17,11
E00140263,13,20,13,12,19,23,21,6,12
E00140264,8,14,25,7,25,12,15,0,5
E00140265,7,13,21,11,20,23,33,15,5
E00140266,12,27,8,7,38,32,24,14,16
E00140267,22,42,20,26,48,61,61,23,70
E00140268,24,25,9,17,38,33,17,12,16
E00140269,23,12,6,22,20,21,26,8,17
E00140270,26,28,5,17,26,16,19,11,12
E00140290,48,26,20,43,43,48,79,16,25
E00140291,48,44,17,36,63,62,51,13,28
E00140292,31,49,21,32,49,51,34,21,39
E00140293,17,18,16,18,36,24,37,11,23
E00140294,36,45,19,35,50,63,41,13,33
E00140295,17,31,16,15,38,49,52,26,63
E00140298,13,25,7,18,40,38,34,13,19
E00140299,26,26,17,21,38,52,43,15,62
E00140300,32,34,27,26,46,52,43,18,27
E00140301,10,21,22,20,38,54,53,19,33
E00140302,17,13,16,20,29,24,45,19,58
E00140303,16,32,30,25,37,41,44,13,42
E00140307,9,38,19,16,37,40,27,4,14
E00140321,12,12,27,20,23,36,38,17,40
E00140322,9,17,2,8,24,25,41,15,74
E00140323,14,23,11,10,34,33,24,12,32
E00140324,16,18,7,13,22,43,58,13,43
E00140325,15,34,17,14,41,56,46,9,28
E00140326,28,37,18,15,61,34,56,25,35
E00140327,25,19,7,14,32,12,36,9,22
E00140366,23,22,19,29,33,43,51,13,28
E00140367,21,26,26,30,30,37,56,8,31
E00140368,26,44,35,32,47,51,41,14,24
E00140369,21,21,12,31,32,55,41,13,42
E00140370,21,26,12,20,45,38,51,22,51
E00140371,35,30,15,24,54,52,47,21,40
E00140372,34,48,25,31,60,50,36,15,26
E00140373,32,36,38,38,56,63,42,9,25
E00140374,23,34,29,39,44,30,38,12,29
E00140375,10,5,9,11,8,11,42,13,65
E00140376,24,28,24,20,53,41,39,19,31
E00140377,25,29,23,26,36,34,31,11,34
E00140378,22,34,26,30,46,42,37,13,26
E00140379,20,30,23,38,30,32,29,16,28
E00140380,19,34,62,42,37,50,36,14,31
E00140381,24,36,22,31,40,42,28,19,42
E00140382,28,52,11,14,47,65,53,10,18
E00140383,26,37,15,15,48,50,46,14,39
E00140384,18,40,7,11,42,52,95,29,81
E00140385,35,52,17,13,57,70,46,17,40
E00140386,31,28,15,26,55,50,21,13,27
E00140387,9,33,15,14,38,58,45,14,31
E00140388,14,10,33,23,41,30,37,12,28
E00140389,32,59,20,29,66,47,19,9,12
E00140390,24,30,39,36,43,29,26,11,15
E00140391,43,36,40,34,54,40,31,13,30
E00140392,12,16,36,38,36,29,31,13,23
E00140393,26,17,33,26,24,28,30,12,35
E00140394,34,23,57,41,24,21,16,9,12
E00140395,44,17,44,52,21,20,27,5,16
E00140396,37,39,48,36,42,35,21,11,19
E00140397,45,51,28,56,52,34,24,6,20
E00140398,28,23,44,42,31,37,27,8,19
E00140399,40,26,29,34,30,32,35,8,30
E00140404,26,42,14,35,43,38,39,11,80
E00140405,47,33,26,54,33,54,37,12,30
E00140406,42,17,73,42,34,39,39,15,14
E00140407,36,28,56,42,36,25,23,5,6
E00140408,67,41,54,58,50,30,19,9,13
E00140414,10,23,34,30,28,35,37,21,54
E00140415,87,70,64,68,53,23,30,6,22
E00140416,22,31,32,21,47,34,22,6,23
E00140429,7,18,8,7,24,27,25,4,17
E00140431,8,10,10,8,27,12,31,9,9
E00140432,21,24,20,34,52,51,63,26,31
E00140434,11,19,9,13,22,29,67,68,64
E00140435,22,50,12,19,57,34,68,18,47
E00140436,16,34,11,14,36,37,64,39,88
E00141037,22,28,24,19,40,47,53,18,39
E00141038,35,45,31,37,69,79,84,20,27
E00141073,21,13,20,22,27,27,34,17,16
E00141075,19,24,11,24,27,35,32,18,86
E00141076,32,22,44,45,35,33,42,7,14
E00141081,20,47,21,19,52,43,49,23,36
E00141082,18,23,19,11,50,31,19,10,11
