geocode,asian,black,mixed,other,white
E02004258,55,16,64,4,10190
E02004259,55,44,69,7,6920
E02004260,279,62,87,17,8997
E02004261,176,6,93,14,9694
E02004262,29,11,37,6,7631
E02004263,10,0,20,1,5661
E02004264,34,9,62,3,7875
E02004269,257,36,93,19,9118
E02004270,38,11,28,3,7409
E02004271,29,11,52,10,9670
E02004272,53,11,79,5,11255
E02004274,27,19,60,8,6346
E02004779,47,6,60,13,10750
E02004780,57,17,63,23,5863
E02004781,139,36,99,4,7980
E02004782,115,24,88,1,7422
E02004783,52,23,69,4,6891
E02004784,31,5,34,11,5683
E02004785,54,16,51,7,5416
E02004786,102,185,110,51,8369
E02004787,67,20,47,34,7209
E02004788,44,9,55,12,7075
E02004790,74,13,60,21,7520
E02004793,84,25,67,22,7235
E02004794,44,14,74,4,6783
E02004795,59,21,57,12,8277
E02004796,38,22,59,9,9513
E02004797,91,3,99,7,7653
E02004798,91,25,87,19,5913
E02004799,214,41,90,41,7574
E02004800,68,10,68,11,7300
E02004814,93,16,71,12,6851
E02004815,114,62,169,21,7257
E02004816,131,66,147,52,8743
E02004817,220,51,133,16,7342
E02004818,193,46,156,9,9760
E02004819,157,42,103,24,7572
E02004820,52,26,78,10,7205
E02004821,29,10,35,8,5156
E02004822,61,23,76,5,7733
E02004823,137,33,69,13,8717
E02004824,127,27,73,15,5557
E02004825,182,13,114,54,10268
E02004826,101,18,92,19,6579
E02004828,325,14,78,68,5856
E02005988,86,71,59,4,6958
E02005991,121,40,115,16,9511
E02006047,30,17,86,4,8046
E02006048,33,17,55,5,6861
E02006049,60,7,42,2,7307
E02006050,108,36,115,4,8002
E02006051,58,6,55,4,7542
E02006052,67,19,72,4,7630
E02006053,77,17,88,3,9002
E02006054,86,8,61,5,7506
E02006055,73,14,70,7,8617
E02006056,49,10,34,9,7256
E02006057,50,13,106,8,7257
E02006058,117,24,91,18,8206
E02006059,15,5,36,7,6416
E02006060,106,17,85,7,7409
E02006061,75,5,70,3,8746
E02006075,69,22,49,5,5204
E02006076,36,16,42,13,8400
E02006077,26,15,26,1,5334
E02006079,63,5,48,11,6930
E02006080,40,23,45,9,6944
E02006082,21,5,40,9,6392
E02006083,32,9,53,7,5623
E02006085,42,14,59,12,5748
E02006086,116,22,65,10,6704
E02006087,72,27,64,13,5961
E02006088,209,13,59,7,7069
E02006089,246,29,64,13,6040
E02006090,71,24,62,16,6848
E02006091,19,14,61,4,9677
E02006092,48,15,28,17,6074
E02006094,20,7,35,3,5245
E02006095,65,13,33,2,7713
E02006634,111,11,67,11,8435
E02006635,147,20,99,18,8111
E02006636,56,4,46,10,6744
E02006637,153,28,116,9,10437
E02006638,66,41,69,11,6075
E02006639,33,39,97,10,8315
E02006640,73,10,71,5,6910
E02006641,106,6,86,5,7213
E02006642,21,9,30,1,5707
E02006643,344,588,302,105,13709
E02006645,102,21,78,10,6946
E02006646,85,10,74,11,5421
E02006647,28,2,48,0,5819
E02006648,133,135,51,18,5518
E02006649,129,27,85,12,6611
E02006650,234,138,161,31,10726
E02006651,135,38,83,4,6974
E02006652,196,71,175,13,9086
E02006653,166,83,142,6,9432
E02006654,211,74,176,16,8876
E02006655,40,9,53,6,6894
E02006656,82,41,99,10,6845
E02006657,120,67,127,16,9796
E02006658,41,4,56,20,7027
E02006659,53,37,102,17,7439
E02006660,127,24,139,11,12711
E02006661,154,431,133,61,8414
E02006662,36,57,66,10,5748
E02006663,164,76,125,11,10348
E02006664,53,24,47,9,6393
E02006665,33,6,20,0,6501
E02006666,119,7,66,10,5443
E02006667,110,22,92,8,6137
E02006668,69,30,64,9,5932
E02006669,39,19,64,5,9583
E02006670,173,33,83,26,6397
E02006671,223,35,72,10,5797
E02006672,176,33,53,6,6384
E02006673,122,26,36,10,4809
E02006674,221,31,63,5,5392
E02006675,30,11,72,16,7780
E02006676,50,8,35,6,6020
E02006677,52,10,83,18,7629
E02006678,66,74,80,12,7112
E02006679,77,38,100,14,9515
E02006680,106,42,105,9,7071
E02006681,38,7,93,5,5793
E02006682,43,29,117,18,9195
E02006683,36,43,114,39,7533
E02006684,126,88,157,46,5749
E02006685,107,77,109,50,7356
E02006686,54,31,81,21,5294
E02006687,121,91,173,108,6796
E02006688,65,63,89,21,5431
E02006689,19,22,71,14,6141
E02006690,36,11,51,11,6607
E02006691,107,34,134,12,13203
E02006692,98,100,85,25,5389
