geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01016335,28,25,702,44,50,10,4,4,30
E01016336,26,27,397,60,13,5,2,3,14
E01016337,54,28,817,118,56,8,3,2,81
E01016338,41,23,828,90,58,11,5,2,60
E01016339,40,55,1186,98,95,11,8,4,138
E01016340,37,36,637,54,24,10,1,1,18
E01016341,44,27,599,59,44,9,5,1,15
E01016342,52,36,968,72,42,9,2,4,32
E01016343,34,14,662,39,45,7,3,4,19
E01016344,19,29,539,96,28,5,7,1,61
E01016345,19,19,550,82,44,5,8,1,57
E01016346,30,44,420,182,42,0,9,3,40
E01016347,32,86,396,216,32,5,9,2,53
E01016348,50,65,769,252,56,6,1,6,67
E01016349,13,47,465,44,28,3,3,0,26
E01016350,15,63,597,48,32,2,4,0,30
E01016353,38,151,341,289,47,4,4,10,133
E01016355,37,121,434,313,47,5,9,6,233
E01016356,44,115,435,133,24,0,3,3,76
E01016357,50,103,467,212,55,3,7,4,128
E01016358,54,121,375,251,38,6,7,5,152
E01016359,44,178,525,208,31,6,10,4,98
E01016360,31,175,429,259,23,8,6,4,134
E01016361,42,138,436,190,28,4,5,4,95
E01016362,33,77,384,192,54,4,5,1,164
E01016363,41,95,501,122,34,5,2,1,87
E01016364,43,50,331,132,74,4,1,2,155
E01016365,56,63,441,212,57,2,2,3,187
E01016366,45,56,429,156,48,3,1,2,131
E01016367,45,55,485,128,41,4,1,7,79
E01016368,24,81,353,65,17,14,5,3,24
E01016369,20,90,555,44,22,4,7,6,20
E01016370,48,86,357,205,42,3,5,6,64
E01016371,51,68,420,91,71,2,5,8,42
E01016372,31,68,294,85,10,3,7,2,18
E01016373,34,98,372,91,17,4,1,1,26
E01016374,63,97,372,322,42,3,4,0,172
E01016375,46,85,240,210,15,4,4,4,61
E01016376,38,99,362,214,32,2,3,2,110
E01016377,36,104,393,179,26,4,6,4,55
E01016378,53,113,450,386,42,5,5,5,211
E01016379,45,122,407,337,25,5,2,4,162
E01016380,22,85,632,42,44,7,0,1,69
E01016381,29,117,414,57,20,9,2,1,31
E01016382,23,147,467,84,23,3,8,1,64
E01016383,33,104,623,52,21,6,4,1,38
E01016384,35,50,585,47,58,10,3,2,107
E01016385,16,85,589,44,29,6,6,2,81
E01016386,18,38,424,36,81,2,3,1,79
E01016387,32,46,505,22,92,6,3,1,56
E01016388,42,61,465,122,33,4,5,0,51
E01016389,46,138,404,93,26,4,7,1,46
E01016390,31,82,409,195,49,4,13,1,141
E01016391,26,99,449,275,23,4,7,3,134
E01016392,51,123,617,174,53,4,2,1,148
E01016393,21,72,457,118,41,1,6,4,85
E01016394,19,71,306,58,21,3,1,2,17
E01016395,14,77,409,69,34,3,9,3,32
E01016396,23,101,320,55,9,5,2,0,38
E01016397,19,103,327,69,15,4,3,4,36
E01016398,23,144,601,107,30,9,6,2,76
E01016399,38,89,487,80,40,6,5,0,56
E01016400,39,140,425,112,35,4,2,6,77
E01016401,52,79,315,159,65,3,4,6,81
E01016402,74,137,386,186,21,2,7,3,46
E01016403,72,103,486,163,59,6,8,4,80
E01016404,82,139,436,316,27,9,16,9,97
E01016405,84,162,385,320,34,6,8,4,103
E01016406,55,113,301,233,42,6,9,7,84
E01016407,25,62,489,62,48,9,0,1,38
E01016408,25,82,563,52,49,9,1,2,37
E01016409,20,86,493,102,44,6,5,2,58
E01016410,33,50,588,69,61,6,4,1,75
E01016411,22,35,492,28,68,4,4,1,45
E01016412,18,79,596,40,49,6,8,0,40
E01016413,36,54,274,276,54,1,5,5,72
E01016414,45,58,315,269,57,7,3,0,120
E01016415,27,94,307,102,20,6,4,5,50
E01016416,37,104,317,298,29,3,5,3,88
E01016417,55,70,270,242,38,0,6,6,73
E01016418,63,68,268,298,39,3,4,3,58
E01016419,40,118,555,117,29,8,6,4,68
E01016420,27,116,324,70,5,3,2,2,21
E01016421,17,69,432,37,21,6,4,0,14
E01016422,19,71,344,34,28,3,2,3,23
E01016423,21,90,392,86,24,6,6,0,30
E01016424,24,55,430,76,38,7,6,1,47
E01016425,41,42,549,51,83,3,3,3,105
E01016426,25,27,364,59,91,3,5,0,93
E01016427,35,34,409,107,74,5,5,5,96
E01016428,25,62,507,116,86,3,2,1,115
E01016429,45,35,534,120,56,9,4,3,66
E01016430,26,35,486,45,77,8,5,0,73
E01016431,22,83,585,62,49,5,0,3,36
E01016432,10,75,511,44,31,5,2,2,36
E01016433,12,96,470,56,30,6,2,2,28
E01016434,14,142,575,74,22,12,5,2,33
E01016435,15,79,410,45,14,8,1,2,16
E01016436,18,67,547,44,44,4,3,0,22
E01016437,26,97,471,62,17,4,5,3,17
