geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E00053547,1,18,49,22,4,0,1,1,2
E00053548,0,5,56,17,2,0,2,2,0
E00053550,0,19,109,25,2,1,0,3,7
E00053551,0,21,85,16,5,0,2,3,2
E00053552,0,11,48,15,2,0,0,3,1
E00053553,0,22,47,22,1,0,2,8,0
E00053555,0,19,48,16,0,0,0,3,1
E00053556,0,29,67,25,1,0,2,3,5
E00053557,0,30,58,22,4,3,0,3,1
E00053558,1,14,43,15,2,0,0,1,1
E00053559,5,28,188,29,5,3,0,4,5
E00053560,0,22,60,13,2,0,2,5,0
E00053561,1,20,97,24,3,1,4,2,9
E00053562,2,17,64,30,2,0,0,4,1
E00053563,1,10,34,9,1,0,2,2,1
E00053564,1,20,69,13,4,1,2,3,5
E00053565,2,17,47,9,1,0,1,3,3
E00053566,0,25,56,17,1,1,0,2,3
E00053567,1,19,43,16,0,0,1,4,2
E00053568,1,25,69,21,1,0,0,1,0
E00053569,1,9,88,15,3,0,0,9,5
E00053570,1,13,85,15,4,1,2,6,1
E00053571,1,18,86,21,7,1,0,3,1
E00053572,1,18,48,13,1,0,0,2,0
E00053573,0,25,72,25,3,1,0,0,2
E00053574,2,19,79,26,6,1,0,1,0
E00053575,1,23,111,34,4,2,1,1,1
E00053576,3,21,99,28,8,0,2,9,3
E00053577,1,20,78,29,3,0,0,0,4
E00053578,4,25,97,50,5,0,0,9,3
E00053579,1,12,118,31,6,0,4,9,3
E00053580,0,18,93,30,3,0,0,5,3
E00053581,2,9,110,20,9,2,1,3,2
E00053582,1,16,84,27,1,0,0,5,1
E00053583,1,20,81,18,2,0,0,2,1
E00053584,3,20,102,30,6,1,1,7,1
E00053585,0,11,51,10,2,0,0,2,3
E00053586,0,10,51,13,7,0,2,3,1
E00053587,1,14,44,14,0,0,1,0,2
E00053588,0,11,21,7,2,0,1,1,2
E00053589,0,21,49,15,0,0,1,0,8
E00053590,1,5,26,10,4,0,0,4,2
E00053591,1,11,36,13,4,0,0,0,2
E00053592,1,12,69,26,3,0,1,1,3
E00053593,1,7,87,17,7,1,4,1,3
E00053594,0,19,46,22,3,0,6,3,3
E00053595,1,15,84,19,1,0,1,2,8
E00053596,1,14,92,26,3,1,2,2,0
E00053597,4,18,55,19,2,1,1,0,0
E00053598,0,30,82,12,3,0,0,1,4
E00053599,0,14,84,36,4,0,6,5,6
E00053600,0,12,87,24,1,0,2,6,1
E00053602,2,18,84,16,2,0,9,3,2
E00053604,1,27,122,19,9,0,3,11,2
E00053605,1,21,122,20,3,0,2,4,5
E00053616,1,15,92,22,0,0,1,5,1
E00053617,1,17,57,15,1,0,1,1,1
E00053618,0,10,70,24,3,0,0,3,2
E00053621,0,20,100,22,2,0,1,5,9
E00053622,0,20,70,21,4,0,0,2,1
E00053623,1,15,86,38,4,1,1,3,4
E00053624,2,21,94,24,4,0,2,1,0
E00053625,0,9,84,19,4,0,3,1,2
E00053626,1,17,84,18,9,0,0,4,1
E00053627,0,25,103,24,5,0,1,3,3
E00053629,0,20,79,30,9,2,5,2,3
E00053630,0,18,99,23,3,0,1,3,4
E00053631,1,17,91,33,3,0,1,3,4
E00053632,1,12,86,28,2,0,0,9,1
E00053633,0,10,44,14,2,1,0,1,2
E00053634,1,19,76,28,4,2,2,2,1
E00053635,0,11,92,31,6,0,2,3,1
E00053636,0,19,107,30,3,1,1,3,2
E00053637,0,16,82,27,1,1,4,2,2
E00053638,2,14,48,12,2,0,0,2,1
E00053639,0,14,37,18,3,0,0,2,0
