geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E00113888,31,24,35,49,57,52,38,10,20
E00113889,79,295,33,54,44,41,30,11,33
E00113890,29,26,33,51,33,66,32,9,21
E00113891,36,57,40,49,68,48,48,25,28
E00113892,8,22,10,14,23,31,26,10,11
E00113893,23,40,39,21,48,72,53,6,22
E00113894,23,43,22,23,41,52,43,14,28
E00113895,30,37,12,33,43,24,46,17,25
E00113896,34,24,12,34,40,52,64,20,30
E00113897,17,25,24,18,36,32,63,17,38
E00113898,23,27,19,18,54,45,49,19,32
E00113899,24,49,37,35,60,57,48,10,26
E00113900,27,26,22,17,29,33,63,13,37
E00113901,30,34,16,40,50,38,49,13,25
E00113902,49,33,37,32,39,46,29,14,17
E00113903,33,50,22,46,39,40,57,11,26
E00113904,22,31,22,21,36,49,47,26,26
E00113905,18,19,19,18,24,32,39,41,41
E00113906,51,46,21,53,75,78,41,17,22
E00113907,33,42,22,23,53,72,90,24,28
E00113908,39,27,20,30,57,41,37,13,16
E00113909,55,51,17,43,60,54,40,5,14
E00113910,32,56,19,37,65,51,36,9,15
E00113911,24,25,13,32,44,56,55,17,28
E00113912,24,50,29,36,53,54,31,9,17
E00113913,36,30,36,46,33,44,39,7,19
E00113914,15,27,22,33,40,41,44,7,24
E00113915,24,35,25,31,38,60,46,18,64
E00113916,46,59,22,40,49,42,20,9,15
E00113917,39,44,21,31,65,61,31,10,18
E00113918,33,47,30,45,52,58,20,11,10
E00113919,35,49,46,46,57,28,26,22,29
E00113920,30,13,30,55,42,54,26,15,10
E00113921,67,20,50,63,68,38,23,3,11
E00113922,34,51,31,35,59,50,36,11,31
E00113923,37,58,26,40,77,61,32,13,22
E00113924,28,52,45,29,54,53,35,18,29
E00113925,10,17,22,9,26,21,32,11,74
E00113926,40,44,34,39,50,54,27,18,22
E00113927,35,54,29,33,49,46,46,15,15
E00113928,28,33,16,20,32,33,41,8,36
E00113929,22,41,21,28,56,31,50,14,33
E00113930,16,39,21,16,45,55,59,26,37
E00113932,11,23,24,9,32,51,58,27,48
E00113933,38,30,28,23,46,36,51,24,49
E00113934,33,50,31,36,75,50,83,13,31
E00113935,28,25,26,25,47,43,43,26,23
E00113936,53,79,20,43,70,72,84,16,32
E00113938,24,47,36,16,62,54,42,14,52
E00113939,15,17,7,14,26,20,19,7,8
E00113940,28,33,59,49,55,38,19,6,19
E00113941,23,43,26,38,56,60,37,12,18
E00113942,54,71,68,77,104,77,44,9,25
E00113943,53,51,42,69,68,38,33,7,15
E00113944,34,53,62,52,55,60,37,7,11
E00113945,39,38,23,30,60,22,39,14,29
E00113946,22,35,27,36,44,42,23,9,10
E00113947,48,94,19,40,85,60,61,19,18
E00113948,43,46,19,31,51,87,79,29,54
E00113949,35,40,30,43,46,32,29,10,16
E00113950,35,42,44,25,58,54,47,7,4
E00113951,38,41,13,44,51,44,46,10,25
E00113952,36,44,19,31,44,52,44,17,25
E00113953,37,27,30,37,55,38,37,12,31
E00113954,34,36,19,30,36,44,52,19,43
E00113955,32,37,23,27,66,72,70,19,79
E00113956,35,30,15,26,34,44,41,12,29
E00113957,11,7,8,12,11,16,41,22,83
E00113958,24,28,19,28,30,36,45,12,27
E00113959,26,25,53,56,37,34,27,4,5
E00113960,35,42,19,32,56,41,34,14,27
E00113961,46,39,18,34,46,40,39,9,57
E00113962,40,37,15,40,48,28,49,20,15
E00113963,24,25,22,23,47,33,34,16,37
E00113964,38,46,34,35,44,47,38,9,11
E00113965,39,35,30,43,41,69,44,14,10
E00113966,43,32,34,41,30,28,31,7,20
E00113967,26,19,25,29,38,50,42,23,45
E00168935,20,15,16,15,40,47,49,10,12
E00168951,12,42,26,27,60,44,29,6,12
E00168952,69,39,59,70,51,23,10,3,1
E00168953,56,29,69,68,34,23,8,1,2
E00168954,87,68,51,72,48,16,5,0,0
E00168955,46,33,67,57,33,14,6,1,0
E00168956,38,31,69,35,34,16,6,1,8
E00168957,37,25,71,62,29,9,5,1,0
E00168958,45,39,47,58,45,25,11,4,4
E00168959,22,44,39,17,45,49,42,8,18
E00168960,55,36,64,62,34,25,8,1,2
E00168961,62,25,45,62,42,28,7,3,1
E00168962,66,54,60,64,62,21,8,1,0
E00168963,73,39,64,84,43,26,3,0,1
E00168964,78,32,57,76,48,22,23,2,0
E00168965,57,33,100,53,19,8,5,0,1
E00168966,83,54,74,70,35,16,2,0,0
E00168967,118,45,80,78,28,16,2,1,0
E00168968,87,41,49,69,34,7,4,0,2
E00168969,73,39,69,57,37,12,5,3,0
E00168970,75,27,55,74,45,19,6,0,3
E00168971,76,50,64,67,33,11,3,0,0
E00168980,38,28,37,41,49,52,41,7,16
E00168981,34,32,59,59,32,17,19,9,17
E00168985,15,25,16,19,24,38,47,20,44
E00173069,18,24,101,162,172,94,30,16,8
