geocode,female,male
E00106132,118,156
E00106133,166,158
E00106134,101,88
E00106135,144,131
E00106136,153,146
E00106137,165,177
E00106138,159,139
E00106139,136,113
E00106140,139,133
E00106141,103,79
E00106142,159,161
E00106143,149,143
E00106144,140,128
E00106145,178,139
E00106146,143,130
E00106147,126,98
E00106148,102,116
E00106149,115,176
E00106150,155,128
E00106151,128,145
E00106152,139,144
E00106153,137,166
E00106154,218,222
E00106155,107,150
E00106156,96,140
E00106157,115,143
E00106158,121,150
E00106159,171,179
E00106160,156,191
E00106162,78,92
E00106163,134,123
E00106164,94,104
E00106165,130,121
E00106166,168,172
E00106167,166,127
E00106168,138,98
E00106169,166,140
E00106170,135,152
E00106171,155,159
E00106172,196,152
E00106173,142,146
E00106174,202,179
E00106175,176,183
E00106176,156,136
E00106177,254,207
E00106178,186,195
E00106179,158,146
E00106180,111,101
E00106181,159,146
E00106182,156,144
E00106183,167,143
E00106184,150,137
E00106185,98,75
E00106186,123,94
E00106187,153,153
E00106188,171,145
E00106189,156,161
E00106190,144,113
E00106191,133,111
E00106192,236,181
E00106193,215,168
E00106194,116,97
E00106195,173,160
E00106196,109,110
E00106197,208,183
E00106198,138,129
E00106199,142,124
E00106200,162,156
E00106201,162,149
E00106202,175,158
E00106203,185,153
E00106204,155,179
E00106205,181,168
E00106206,165,158
E00106207,151,139
E00106208,106,106
E00106209,174,171
E00106210,141,140
E00106211,148,130
E00106212,296,243
E00106213,219,215
E00106214,201,226
E00106217,234,184
E00106218,273,280
E00106219,161,154
E00106220,115,109
E00106221,81,70
E00106222,136,113
E00106223,185,185
E00106224,172,202
E00106225,197,169
E00106226,181,159
E00106227,129,116
E00106228,131,132
E00106229,139,135
E00106230,121,119
E00106231,119,101
E00106232,136,110
E00106233,154,142
E00106234,105,112
E00106235,140,133
E00106236,100,85
E00106237,135,101
E00106238,99,101
E00106239,100,64
E00106240,128,115
E00106241,124,103
E00106242,132,105
E00106243,128,108
E00106244,121,104
E00106245,112,110
E00106246,85,92
E00106247,118,131
E00106248,110,103
E00106249,94,72
E00106250,157,150
E00106251,148,141
E00106252,278,157
E00106253,166,147
E00106254,216,189
E00106255,124,111
E00106256,105,76
E00106257,163,160
E00106258,161,134
E00106259,106,148
E00106260,116,125
E00106261,143,141
E00106262,118,83
E00106263,114,59
