geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E06000001,723,2592,27085,4514,1045,180,414,700,514
E06000002,1397,4975,37253,7063,1306,197,637,957,762
E06000003,894,3372,41973,5731,1742,259,733,414,1236
E06000004,1715,5115,66582,7518,2847,417,1018,642,1268
E06000005,1170,3430,33931,6625,2019,193,309,441,896
E06000006,1217,3843,43377,5437,1541,355,313,350,1144
E06000007,2618,5039,77020,7626,4648,692,518,400,2295
E06000008,600,3297,43616,7874,2269,322,366,1133,1046
E06000009,1948,5252,39394,9191,3305,562,579,619,569
E06000010,9082,14549,67759,13276,2118,1326,903,1160,730
E06000011,5975,4505,115829,17034,9911,1204,1374,521,2404
E06000012,3881,4319,50159,8297,1912,658,606,564,380
E06000013,2998,1894,60169,7802,3323,791,501,219,404
E06000014,11297,7141,52450,18246,5025,968,527,418,2649
E06000015,4221,10128,76171,14357,3696,982,578,939,1350
E06000016,5099,18660,82247,23323,3996,689,858,766,1856
E06000017,634,201,11979,2967,1651,106,112,25,362
E06000018,4358,24777,63509,19943,4052,782,868,1007,3922
E06000019,3305,1574,61330,13149,8436,624,764,289,766
E06000020,1669,3153,61143,6276,3139,564,411,865,1152
E06000021,1601,8604,80294,11289,2691,879,561,1386,804
E06000022,2537,5472,50942,14579,6512,891,532,221,3172
E06000023,16211,20216,114962,40468,9578,2375,1130,618,4437
E06000024,2692,2941,71941,9249,6422,975,536,366,2441
E06000025,5356,6743,102206,11150,6479,1906,604,263,1824
E06000026,3094,13168,75322,17306,3604,2287,1125,813,747
E06000027,796,2542,38682,9134,3494,881,453,349,581
E06000030,4667,9356,76286,11063,4353,1177,552,507,1538
E06000031,5095,6571,60742,8134,3454,621,526,578,2323
E06000032,1175,6682,59050,11840,2657,438,715,1056,5588
E06000033,2323,4346,44976,11322,3742,615,488,411,13116
E06000034,1097,2892,51515,4588,2258,797,405,484,13384
E06000035,1449,5903,88181,12461,4615,1416,685,444,11535
E06000036,1399,1237,46263,5124,3663,501,407,207,3113
E06000037,2126,2976,57425,7680,6223,504,445,179,4121
E06000038,3323,8811,41214,13663,3721,472,451,272,7925
E06000039,1608,5055,45236,6567,2060,435,428,460,5451
E06000040,1746,1022,49071,7196,6469,524,579,312,7032
E06000041,2009,2691,57875,5230,6515,527,415,150,5965
E06000042,3659,7192,91631,9833,6689,661,696,1560,5862
E06000043,6910,19018,56917,28752,10618,1082,1053,541,14932
E06000044,7148,7197,56053,16324,3280,1131,838,1025,3623
E06000045,5243,10433,68719,18536,3737,1209,847,535,3349
E06000046,1814,2582,37066,10431,3923,1011,1392,144,936
E06000047,2243,13963,171917,23797,9642,1061,1471,1521,2279
E06000049,4761,3326,133285,17939,13462,1188,1062,582,5531
E06000050,4284,5566,118411,15987,9450,1033,1011,871,3525
E06000051,4460,2977,106304,19973,12532,922,1010,577,1993
E06000052,3950,5953,170612,34114,21187,2872,2415,742,2682
E06000053,209,8,317,505,175,37,57,1,2
E06000054,6906,6412,166533,31113,17608,1942,1489,595,6618
E06000055,2912,3199,52518,8018,4229,425,458,336,3715
E06000056,2125,2649,98088,10762,7938,849,603,262,8785
E06000057,2137,7711,105605,16924,9195,704,1411,588,2626
E06000058,8702,12393,121458,20906,10226,2300,1239,548,3424
E06000059,4476,4286,119351,22410,14048,1888,1376,429,2338
E06000060,3520,7061,177346,22220,21237,1562,1553,1217,19260
E06000061,2831,4640,121359,15572,7502,977,805,946,2754
E06000062,3804,8755,143493,18383,11146,1012,923,700,3852
E07000008,17755,3862,20479,9389,3856,504,329,215,3048
E07000009,1255,720,32664,3025,3167,314,236,104,2434
E07000010,2065,921,33474,4374,2202,319,284,176,699
E07000011,3227,2224,65116,8275,5443,579,428,265,3434
E07000012,6211,3454,53712,5247,6172,787,401,132,3023
E07000026,706,1766,32820,6487,3217,232,295,136,417
E07000027,1647,1623,19807,5563,839,546,230,442,560
E07000028,1415,3742,35908,8834,2835,296,284,203,357
E07000029,572,1560,24833,3401,1339,277,190,170,549
E07000030,345,587,18027,4533,3341,90,217,77,244
E07000031,1388,957,33323,9348,4955,278,442,189,792
E07000032,808,2412,45593,5744,3024,584,256,193,767
E07000033,281,1639,27334,3003,1355,295,164,121,319
E07000034,526,3839,34816,5292,1690,373,220,379,766
E07000035,367,787,24774,4330,3705,213,265,61,503
E07000036,1895,3846,39824,5224,2185,637,219,158,863
E07000037,628,1224,31066,6256,2991,286,276,163,2728
E07000038,332,2708,36869,3044,2425,342,222,125,791
E07000039,769,1333,38603,3252,2605,486,236,172,430
E07000040,1323,1581,40301,7861,5835,630,640,165,1572
E07000041,3622,5264,30201,13065,2622,706,258,211,1190
E07000042,716,1125,26681,4790,4082,371,270,64,409
E07000043,1579,1527,27693,8389,4375,437,362,150,242
E07000044,533,899,26651,5475,4701,457,529,101,653
E07000045,987,1601,42184,6768,4888,646,362,126,1400
E07000046,374,859,19764,4210,3493,267,238,76,121
E07000047,282,566,16859,3589,3218,192,240,91,204
E07000061,1334,2467,28176,6605,2240,283,280,298,2766
E07000062,596,2327,25285,6452,2380,392,299,358,2582
E07000063,819,3582,27970,5027,3641,346,270,168,3709
E07000064,496,561,25454,4054,3593,284,246,106,2789
E07000065,718,1407,50087,5760,6942,426,449,163,5132
E07000066,1441,2806,52403,7279,2997,598,437,728,14317
E07000067,1101,1653,52144,7256,4417,460,401,262,6506
E07000068,337,655,20453,2828,2239,238,206,227,9068
E07000069,651,1465,28337,2549,1700,336,239,250,5916
E07000070,2542,3386,53883,8927,4709,588,412,266,11738
E07000071,3394,4918,53741,10754,4484,700,467,291,6838
E07000072,500,1284,36208,3673,3673,605,377,760,14529
E07000073,1028,2170,27940,4299,1127,288,189,431,2929
E07000074,558,474,21705,2453,2230,194,194,79,2405
E07000075,511,1333,27203,2346,2057,311,187,173,6541
E07000076,1726,1274,38626,6116,3046,427,396,321,2925
E07000077,458,591,27937,3734,3667,237,237,125,3786
E07000078,3892,3356,35749,10881,3514,426,273,114,978
E07000079,864,514,28198,5737,4679,279,321,84,853
E07000080,470,907,30069,3552,2983,400,245,55,387
E07000081,3070,4581,43185,6971,2008,677,280,126,476
E07000082,1232,1243,43011,5164,4908,495,298,90,901
E07000083,1828,1895,30367,3549,2903,459,193,35,315
E07000084,1930,3823,63769,8821,5638,560,456,250,4875
E07000085,999,789,42034,5469,5016,402,429,96,3223
E07000086,1674,1947,50097,4913,3247,733,389,140,2628
E07000087,2095,1083,42668,4014,3003,739,531,153,2159
E07000088,4349,2051,25906,4076,1363,957,548,206,607
E07000089,1003,564,34762,3538,3947,323,278,84,3548
E07000090,1664,2556,41517,4422,2392,623,348,352,1681
E07000091,3137,1654,61431,6763,6243,788,777,171,2029
E07000092,1452,2075,35874,5178,1985,441,393,166,3523
E07000093,1719,1354,43163,6137,4050,455,434,255,2044
E07000094,1155,1650,37133,7749,5226,438,455,95,3417
E07000095,608,1386,31249,3240,1801,388,260,508,6782
E07000096,812,2250,50014,7301,4874,501,419,294,6972
E07000098,515,2312,29718,3781,3593,408,292,393,8416
E07000099,1240,1117,42962,6364,4422,400,303,167,8015
E07000102,548,991,28688,2723,3072,332,218,177,7250
E07000103,1087,2271,27356,6605,2075,389,276,217,7358
E07000105,1465,1507,39967,5920,3995,377,314,151,3850
E07000106,1803,3279,41450,10363,4165,446,348,196,3570
E07000107,535,2563,30969,3609,1786,691,232,327,8899
E07000108,1086,1830,35535,6227,2685,439,427,245,1922
