geocode,employee,inactive,self-employed,student,unemployed
E06000001,32727,23291,3805,1787,5194
E06000002,46364,36969,5171,4416,7631
E06000003,48694,35647,5864,2439,6533
E06000004,74997,44395,8941,4246,8075
E06000005,41892,23192,5595,1954,4002
E06000006,50321,29297,5420,2519,5151
E06000007,85657,41696,11617,4530,5961
E06000008,50132,37384,7997,3329,5575
E06000009,49066,35273,9960,3177,6337
E06000010,96076,62480,9814,6944,15296
E06000011,128617,76734,24834,6614,8795
E06000012,61125,36596,7484,3132,7486
E06000013,67046,37661,8869,2884,5869
E06000014,79519,44844,12328,8516,4582
E06000015,95289,55600,11657,7448,9297
E06000016,114121,85807,14021,13301,14982
E06000017,14161,8294,3348,606,643
E06000018,99857,89745,13004,14691,14775
E06000019,68439,38328,19151,3171,4353
E06000020,67097,37332,8588,3456,5806
E06000021,91829,63065,11440,6759,9715
E06000022,65185,40798,14306,6713,3548
E06000023,170809,94387,27106,15387,13817
E06000024,78713,42745,15426,4118,4350
E06000025,113942,49270,17147,6755,5354
E06000026,97590,64044,13116,8900,8136
E06000027,44319,32205,10747,2454,4275
E06000030,94049,37041,12061,4411,6518
E06000031,75358,36672,10012,3585,6691
E06000032,71678,44936,12198,8059,8337
E06000033,65921,36683,12801,3393,6209
E06000034,64990,29660,10161,3123,6190
E06000035,105049,56204,16876,6560,9469
E06000036,51828,17979,8167,2334,2808
E06000037,66651,26653,12691,2780,3279
E06000038,65937,30479,9238,5825,5329
E06000039,55496,26639,8926,3957,5440
E06000040,59064,26597,12903,2391,3292
E06000041,66542,27361,12081,3331,2958
E06000042,107648,43668,15731,5698,8640
E06000043,103491,59939,27241,12303,7818
E06000044,78369,47871,11551,9378,6536
E06000045,90938,57008,12964,11660,7631
E06000046,46081,35529,11553,2198,4386
E06000047,194517,136695,25309,10262,17013
E06000049,145803,79700,29056,7652,8742
E06000050,131848,72377,21856,8125,8949
E06000051,117866,64909,28535,5232,7350
E06000052,182973,129374,53013,10804,12694
E06000053,873,291,433,7,18
E06000054,194024,88803,38102,8667,9999
E06000055,61784,31982,10826,4112,5060
E06000056,107373,47133,20472,5237,6443
E06000057,120748,74956,22063,5128,10329
E06000058,143581,83453,28597,11297,9682
E06000059,132329,82273,32989,6226,6979
E06000060,199313,95892,47075,10606,10887
E06000061,132706,62546,19979,5913,9648
E06000062,156953,70908,27547,9544,10430
E07000008,47351,35397,7291,5603,2641
E07000009,35537,14794,7227,1409,1747
E07000010,37005,21429,6408,1485,2931
E07000011,74295,31865,11912,3317,3957
E07000012,64096,25700,12512,2972,2499
E07000026,37527,22074,7306,1518,2553
E07000027,27193,17206,3155,1184,2365
E07000028,44456,22321,7311,2596,2847
E07000029,28509,17367,3675,916,2235
E07000030,19842,10322,6685,1064,822
E07000031,38878,22435,11102,1892,1524
E07000032,49603,27278,8183,1991,3503
E07000033,29528,18503,4050,1252,2612
E07000034,40865,24500,5678,1809,3557
E07000035,26423,15437,7578,1146,1394
E07000036,46714,23565,6595,1993,3742
E07000037,36693,18829,7480,1811,2576
E07000038,38752,23541,6816,1654,2697
E07000039,40017,19092,6392,1824,2125
E07000040,45030,30327,13048,2107,2270
E07000041,46363,28674,6770,4998,2739
E07000042,28952,15629,8562,1191,1513
E07000043,33550,20388,9832,1685,2052
E07000044,28159,18978,10576,1482,1422
E07000045,45283,27626,11825,2260,2477
E07000046,21198,15352,7494,880,1586
E07000047,18028,12398,6445,873,1197
E07000061,35095,22547,7247,2710,2874
E07000062,31864,21277,7392,1882,3621
E07000063,34418,21075,9611,1846,2319
E07000064,27183,23002,9321,1336,2019
E07000065,52125,31665,16673,2746,2670
E07000066,68548,36225,12117,3059,5846
E07000067,59606,28003,12410,2685,4014
E07000068,28819,14810,6464,1199,1667
E07000069,33044,20546,7178,1569,2289
E07000070,70580,32354,12775,3761,4223
E07000071,69060,37177,12154,5715,4456
E07000072,46745,25318,13191,2109,3259
E07000073,33904,14822,5106,1794,3043
E07000074,23405,13550,6108,962,1381
E07000075,32735,17621,6768,1465,1836
E07000076,43494,37142,9791,2090,4533
E07000077,31189,14613,8414,1343,1527
E07000078,47598,23327,8240,4047,2878
E07000079,30636,16869,9667,1412,1491
E07000080,30364,18851,7470,1572,2084
E07000081,52745,23202,6245,2959,3791
E07000082,44809,21975,10780,2085,2306
E07000083,33889,16231,6457,1426,1682
E07000084,75555,28443,11792,3454,3999
E07000085,45536,22569,11074,2210,2133
E07000086,54655,22549,8884,2726,2768
E07000087,46774,22135,7561,2611,2117
E07000088,34405,16518,4456,1600,2520
E07000089,39091,16212,7494,1720,1570
E07000090,45409,26646,8263,2485,3444
E07000091,65258,38022,14995,3235,3288
