geocode,asian,black,mixed,other,white
E06000001,1304,170,550,105,89899
E06000002,10768,1731,2362,1496,122055
E06000003,869,122,853,130,133203
E06000004,6632,1133,1997,549,181299
E06000005,2205,357,1146,261,101595
E06000006,943,260,1356,146,123041
E06000007,4911,694,2144,487,193992
E06000008,41494,933,1823,1230,102009
E06000009,2282,346,1753,345,137339
E06000010,6471,2996,3454,2164,241321
E06000011,2961,598,2301,530,327789
E06000012,2129,411,1186,469,155421
E06000013,4549,494,1244,411,160748
E06000014,6740,1194,2413,973,186731
E06000015,31095,7320,7232,3354,199751
E06000016,122470,20585,11580,8568,166636
E06000017,365,251,389,63,36301
E06000018,40039,22185,20265,4493,218698
E06000019,1439,331,1270,268,180169
E06000020,6991,1779,2983,473,154415
E06000021,18442,3741,4491,1622,220712
E06000022,4577,1326,2898,742,166473
E06000023,23655,25734,15438,3815,359592
E06000024,2436,632,2033,389,197076
E06000025,6440,2218,3667,868,249574
E06000026,3906,1678,3287,1004,246509
E06000027,1353,251,1420,236,127699
E06000030,13365,2861,4226,806,187898
E06000031,21492,4164,4948,1483,151544
E06000032,60952,19909,8281,2980,111079
E06000033,6440,3647,3651,897,159023
E06000034,5927,12323,3099,927,135429
E06000035,13615,6663,5176,1892,236579
E06000036,5664,2189,2303,495,102554
E06000037,3808,1376,2420,364,145854
E06000038,21161,10470,6180,1500,116387
E06000039,55697,12115,4758,3582,64053
E06000040,13848,1725,3315,1167,124505
E06000041,11438,2093,3182,1142,136525
E06000042,22782,17131,8235,1579,199094
E06000043,11278,4188,10408,3983,243512
E06000044,12474,3777,5467,2156,181182
E06000045,19892,5067,5678,2717,203528
E06000046,1514,303,1709,194,134545
E06000047,4856,701,3094,822,503769
E06000049,6060,1402,3873,852,357940
E06000050,4097,908,3050,528,321025
E06000051,3089,580,2168,418,299874
E06000052,3434,762,4400,829,522848
E06000053,2,2,18,4,2177
E06000054,6178,3228,5568,1036,454971
E06000055,17932,6202,5386,1113,126846
E06000056,6402,3614,4789,854,238722
E06000057,2658,338,1692,274,311066
E06000058,10837,2367,6612,2161,356911
E06000059,3338,841,2895,353,357726
E06000060,43269,10490,12360,2494,436670
E06000061,9364,5325,5359,914,295889
E06000062,16063,11598,8823,1684,336933
E07000008,13618,2097,3944,2003,102205
E07000009,1215,506,1182,242,80673
E07000010,1075,497,901,158,92631
E07000011,4190,1642,2530,455,160691
E07000012,5540,1268,2524,636,138787
E07000026,477,73,426,61,95385
E07000027,633,70,360,84,67940
E07000028,1248,147,535,114,105480
E07000029,629,84,339,60,69491
E07000030,292,22,211,40,51999
E07000031,787,183,633,93,101962
E07000032,929,253,980,124,120023
E07000033,612,267,518,17,74452
E07000034,1592,782,1094,148,100172
E07000035,398,87,466,48,70117
E07000036,1383,536,1269,128,108765
E07000037,711,184,944,99,88954
E07000038,795,236,786,122,97084
E07000039,2375,425,1062,222,90527
E07000040,930,146,904,130,130347
E07000041,4595,667,1938,983,109590
E07000042,428,94,484,48,76696
E07000043,835,158,785,147,91742
E07000044,458,121,653,124,81784
E07000045,893,117,925,122,122163
E07000046,271,51,429,67,63021
E07000047,300,59,402,62,52730
E07000061,2795,783,1791,535,93508
E07000062,2126,1065,1948,484,84631
E07000063,1400,416,1275,252,94159
E07000064,1103,305,1031,198,87951
E07000065,1719,343,1428,252,145173
E07000066,4766,4685,2887,482,161677
E07000067,1998,913,1837,249,142087
E07000068,2350,896,1196,291,68868
E07000069,1012,661,911,154,85273
E07000070,4962,2051,2646,668,157983
E07000071,6355,2575,3152,1686,159306
E07000072,5922,2404,2649,815,112869
E07000073,3733,3090,1752,370,72999
E07000074,484,150,506,60,60429
E07000075,881,433,905,131,80937
E07000076,1275,434,1467,205,134667
E07000077,1122,417,977,166,76761
E07000078,3675,721,1878,374,109084
E07000079,794,229,698,85,81075
E07000080,473,199,528,62,80699
E07000081,5839,3486,3565,336,108462
E07000082,751,260,1216,126,110426
E07000083,901,255,776,110,79901
E07000084,6715,1909,2813,474,155888
E07000085,1859,517,1305,292,111635
E07000086,3740,605,1740,577,118537
E07000087,1667,357,1359,239,107959
E07000088,1073,592,1066,206,79685
E07000089,2448,506,1457,267,86355
E07000090,1427,388,1514,193,117162
E07000091,1665,612,1620,405,172160
E07000092,9755,1868,2057,607,79520
E07000093,2368,487,1494,404,111645
E07000094,2639,457,1626,296,111577
E07000095,2190,3957,2141,791,84530
E07000096,6770,2990,3075,475,131537
E07000098,7393,3927,2619,1029,85063
E07000099,6821,2491,3376,671,113755
E07000102,7993,1610,2002,418,75294
E07000103,16170,5229,3104,852,64946
E07000105,3991,1375,1682,388,110520
E07000106,5135,1937,2551,902,140620
E07000107,5799,3578,2161,757,85070
E07000108,2031,386,1029,262,107966
E07000109,10604,2885,2066,1939,84226
E07000110,4943,1380,2345,479,145996
E07000111,2085,853,1675,251,110029
E07000112,3699,458,1267,330,102215
E07000113,1489,1395,1575,221,131155
E07000114,2504,910,2186,392,128194
E07000115,2431,421,1677,404,115872
E07000116,2903,638,1893,376,109239
E07000117,9578,211,976,240,76054
E07000118,1710,401,1016,195,103833
E07000119,845,163,742,163,73844
E07000120,9007,106,696,147,70778
E07000121,3732,628,1356,317,132342
E07000122,16807,126,946,136,71437
E07000123,21732,1676,3326,1053,112415
E07000124,729,92,360,47,55904
E07000125,3396,123,602,83,63778
E07000126,1612,268,1174,156,105847
E07000127,913,174,866,129,108603
E07000128,993,130,664,110,105852
E07000129,5718,900,1505,341,85451
E07000130,16138,1327,2577,944,145114
E07000131,2563,327,971,205,81316
E07000132,2246,262,1027,174,101369
E07000133,518,95,414,30,49319
E07000134,1074,205,881,121,91187
E07000135,12520,671,1176,792,41011
E07000136,928,278,664,175,62592
E07000137,789,264,937,97,134314
E07000138,1794,778,1230,360,89379
E07000139,750,251,791,139,105835
E07000140,747,257,796,100,86370
E07000141,1580,509,1142,163,130394
E07000142,728,224,630,68,87600
E07000143,1040,596,1562,177,127116
E07000144,1265,331,1064,191,121795
E07000145,1204,439,1159,260,94215
E07000146,1863,561,1372,246,143409
E07000147,531,157,617,67,100127
E07000148,5844,2147,3039,1107,120375
E07000149,1270,378,1214,169,120981
E07000163,970,61,375,39,53964
E07000164,600,188,593,124,87635
E07000165,2409,1147,1776,462,152075
E07000166,1247,496,502,164,49556
E07000167,273,80,302,32,51064
E07000168,1364,240,869,216,106104
E07000169,493,212,626,41,82077
E07000170,1099,472,1059,134,116733
E07000171,1255,520,996,200,109892
E07000172,4503,933,1827,686,101538
E07000173,3343,1653,2619,272,105656
E07000174,1289,398,1106,151,101522
E07000175,1036,499,1160,164,111958
E07000176,4614,627,1949,435,103504
E07000177,6039,1961,2560,547,130761
E07000178,18827,7028,6035,2059,117957
E07000179,2405,768,1801,290,128993
E07000180,2962,1230,1574,398,114824
E07000181,1424,437,1263,186,101469
E07000187,929,210,996,87,107057
E07000188,735,140,869,120,112724
E07000189,1409,357,1158,189,158130
E07000192,982,280,867,77,95256
E07000193,7864,1023,1619,373,102704
E07000194,1623,481,1034,117,97399
E07000195,3512,828,1490,379,117662
E07000196,2122,578,1495,236,103700
E07000197,3288,1107,1694,472,124308
E07000198,502,120,602,57,95825
E07000199,763,393,803,93,74761
E07000200,666,264,827,138,85845
E07000202,5740,3096,4816,1136,118596
E07000203,647,371,953,93,94667
E07000207,7075,1010,3411,1256,118123
E07000208,6484,1128,1922,1066,64502
E07000209,6616,1656,2501,1703,124707
E07000210,2177,399,1257,374,81168
E07000211,6992,2166,3037,761,124879
E07000212,5561,862,1671,783,71633
E07000213,7295,1545,2382,921,83455
E07000214,5389,861,1626,576,77692
E07000215,2164,882,1789,283,77880
E07000216,2283,538,1623,411,116717
E07000217,11462,1383,2335,1092,82926
E07000218,580,172,506,47,60709
E07000219,7880,1047,1396,537,114392
E07000220,5225,1987,1986,312,90565
E07000221,1466,264,1258,190,117307
E07000222,9945,973,2803,1212,122715
E07000223,1058,313,886,262,58663
E07000224,2116,538,1502,244,145118
E07000225,1617,518,1092,245,110322
E07000226,13825,3469,3098,1025,85180
E07000227,2585,651,1774,229,126062
E07000228,3761,788,1967,326,133018
E07000229,3372,869,1836,427,98136
E07000234,1925,444,1396,176,89696
E07000235,902,151,639,98,72841
E07000236,4029,862,1655,171,77497
E07000237,4366,473,1395,240,92294
E07000238,1129,228,962,168,114457
E07000239,1390,214,998,100,95273
E07000240,9011,2388,3904,981,124380
E07000241,8704,4989,2797,1109,92936
E07000242,2681,984,2214,352,131456
E07000243,4848,2836,2265,410,73598
E07000244,2991,925,2728,343,232565
E07000245,3087,2198,3148,801,161522
E07000246,1800,306,1218,194,141344
