geocode,bad,fair,good
E00054762,19,58,244
E00054763,29,48,288
E00054764,24,35,192
E00054765,22,42,207
E00054766,8,40,284
E00054767,11,43,275
E00054768,22,51,407
E00054769,21,47,213
E00054770,19,63,270
E00054771,7,51,253
E00054772,39,54,169
E00054773,28,51,265
E00054774,22,37,225
E00054775,17,51,249
E00054776,11,58,222
E00054777,17,52,282
E00054778,18,50,251
E00054779,17,55,279
E00054797,22,66,299
E00054798,20,45,247
E00054801,29,47,244
E00054802,19,42,240
E00054804,27,59,196
E00054805,27,50,243
E00054806,7,36,258
E00054807,14,41,269
E00054808,43,56,265
E00054809,17,66,249
E00054810,10,31,279
E00054811,14,49,182
E00054812,8,26,234
E00054813,12,34,216
E00054814,21,48,288
E00054816,15,34,236
E00054817,18,26,245
E00054818,9,33,241
E00054819,13,32,247
E00054820,26,61,143
E00054821,14,37,215
E00054822,15,43,199
E00054823,7,36,226
E00054824,11,30,205
E00054825,16,67,280
E00054827,15,45,211
E00054828,22,40,228
E00054829,17,37,246
E00054830,22,35,135
E00054831,46,46,116
E00054832,7,21,261
E00054833,20,38,240
E00054834,9,36,236
E00054835,40,57,106
E00054836,12,33,264
E00054837,12,48,250
E00054838,19,50,269
E00054839,7,32,339
E00054840,17,35,248
E00054841,15,38,185
E00054842,15,40,239
E00054843,11,46,149
E00054844,22,44,182
E00054886,10,45,169
E00054887,10,40,226
E00054888,23,54,170
E00054889,12,41,272
E00054890,16,40,311
E00054891,27,54,385
E00054892,28,45,250
E00054893,4,35,251
E00054894,21,42,245
E00054895,18,51,389
E00054896,11,44,217
E00054897,16,55,198
E00054898,15,40,176
E00054899,18,33,255
E00054900,11,31,246
E00054901,24,41,223
E00054902,24,37,269
E00054903,11,31,293
E00054904,30,41,168
E00054905,30,45,213
E00054906,30,51,254
E00054907,33,60,244
E00054908,18,45,195
E00054909,35,47,154
E00054910,8,39,294
E00054911,22,50,299
E00054912,13,47,177
E00054914,17,66,198
E00054916,20,57,233
E00054917,26,37,223
E00054918,19,55,150
E00054919,25,47,186
E00054920,29,54,120
E00054921,8,48,261
E00054922,14,37,245
E00054923,22,33,272
E00054925,9,28,427
E00054926,18,51,295
E00054927,9,16,207
E00054928,13,45,372
E00054929,13,38,314
E00054930,11,39,182
E00054931,36,30,258
E00054932,9,34,249
E00054933,37,36,132
E00054934,20,43,135
E00054935,15,33,261
E00054936,8,40,372
E00054937,9,30,246
E00054938,10,29,241
E00054939,9,27,206
E00054940,14,33,239
E00054941,4,25,209
E00054942,4,37,335
E00054943,12,29,275
E00054944,16,47,226
E00054945,31,58,149
E00054946,9,38,287
E00054947,12,25,136
E00054948,11,30,290
E00054949,19,52,387
E00054950,17,46,318
E00054951,15,55,269
E00054952,35,52,171
E00054953,13,37,295
E00054954,5,37,242
E00054955,13,25,253
E00054956,7,60,324
E00054957,16,44,205
E00054958,9,33,360
E00054959,11,31,302
E00054960,19,36,231
E00054961,14,32,228
E00054962,27,55,313
E00054963,11,42,249
E00054964,11,52,280
E00054965,4,24,295
E00054966,3,15,189
E00054967,11,46,230
E00054968,15,48,266
E00054969,2,24,216
E00054970,10,31,255
E00054971,4,33,247
E00054972,3,28,235
E00054973,21,55,287
E00054974,7,38,297
E00054976,15,33,280
E00054977,8,19,257
E00054978,16,36,232
E00054979,3,21,212
E00054980,12,26,189
E00054981,17,24,212
E00054982,13,27,203
E00054983,15,54,53
E00054984,10,22,219
E00054985,16,53,272
E00054986,10,53,196
E00054987,8,27,215
E00054988,17,44,205
E00054989,26,54,249
E00054990,20,41,169
E00054991,18,54,156
E00054992,20,50,224
E00054993,20,39,76
E00054995,12,35,212
E00054996,4,30,253
E00054997,18,33,262
E00054998,5,19,147
E00055005,13,39,137
E00055007,36,42,251
E00055032,24,50,327
E00055036,5,38,268
E00055040,16,44,239
E00055041,10,53,292
E00055067,26,48,283
E00055068,15,46,218
E00055070,10,39,208
E00055071,17,46,257
E00055072,34,50,142
E00055075,35,60,102
E00055079,12,35,209
E00055080,27,58,184
E00055081,10,44,156
E00055082,8,36,363
E00055083,28,35,155
E00055084,24,55,292
E00055085,32,39,217
E00055086,22,39,184
E00055087,31,45,202
E00055088,18,50,150
E00055089,10,37,219
E00055090,19,53,204
E00055091,21,41,221
E00055092,16,36,254
E00055093,8,33,187
E00055094,8,64,387
E00055095,15,66,480
E00055105,11,35,221
E00055106,16,52,296
E00055107,10,33,255
E00055108,4,30,348
E00055109,7,38,321
E00055110,12,34,283
E00055111,13,33,276
E00055112,9,40,269
E00055113,21,40,239
E00055114,16,46,249
E00055115,12,28,295
E00055116,18,39,262
E00055117,11,31,235
E00055118,11,41,232
E00055119,12,33,211
E00055120,36,62,301
E00055134,5,29,199
E00055135,11,28,203
E00055136,12,41,228
E00055137,13,25,304
E00055138,7,38,272
E00055139,17,45,131
E00055140,22,50,314
E00055141,24,36,283
E00055142,10,37,229
E00055143,15,57,205
E00055144,26,55,297
E00055145,16,24,317
E00055146,19,51,301
E00055147,26,46,221
E00055148,22,48,184
E00055149,23,57,250
E00055150,26,50,232
E00055151,11,17,352
E00055152,16,51,182
E00055153,16,36,218
E00055154,10,33,197
E00055155,12,46,246
E00055156,25,50,247
E00055157,18,31,265
E00055158,27,47,148
E00055159,21,55,307
E00055160,19,26,143
E00055161,25,41,227
E00055162,13,41,295
E00055163,22,55,353
E00055164,23,45,209
E00055166,14,39,341
E00055167,14,42,260
E00055168,26,44,203
E00055169,18,37,282
E00055170,18,50,294
E00055171,43,58,166
E00055172,22,61,213
E00055173,33,36,133
E00055174,2,39,315
E00055175,17,46,303
E00055176,34,64,275
E00055177,8,42,208
E00055178,16,38,212
E00055179,33,48,254
E00055180,16,40,258
E00055181,11,34,229
E00055182,16,45,253
E00055183,14,38,212
E00055184,19,47,232
E00055185,8,46,255
E00055186,17,55,253
E00055187,12,48,274
E00055188,31,91,215
E00055189,6,44,207
E00055190,14,26,305
E00055191,12,28,282
E00055192,14,53,299
E00055193,12,50,351
E00055194,16,35,240
E00055195,29,48,58
E00055196,16,39,256
E00055197,12,45,275
E00055198,24,49,304
E00055199,20,66,222
E00055200,25,51,241
E00055201,13,31,267
E00055202,15,37,192
E00055203,20,63,281
E00055204,17,38,175
E00055205,34,45,132
E00055206,4,23,241
E00055207,16,55,238
E00055211,41,92,378
E00055212,22,46,221
E00055214,20,64,266
E00055216,9,36,274
E00055217,35,60,149
E00055218,26,69,151
E00055221,18,29,260
E00055223,10,33,304
E00055224,13,38,282
E00055232,7,19,206
E00055237,3,32,229
E00055243,8,27,164
E00055246,12,28,345
E00055247,11,58,193
E00055248,11,49,208
E00055249,34,41,220
E00055250,47,74,237
E00055251,14,60,279
E00055252,8,37,188
E00055253,9,26,283
E00055254,14,43,208
E00055255,15,39,228
E00055256,15,40,265
E00055257,19,25,251
E00055258,27,35,180
E00055260,10,34,338
E00055261,25,77,305
E00055262,17,54,275
E00055264,49,74,97
E00055266,14,41,192
E00055267,46,70,351
E00055268,22,44,86
E00055269,31,46,368
E00055270,39,51,283
E00055271,45,51,78
E00055272,27,76,445
E00055273,31,62,296
E00055274,32,77,428
E00055275,46,63,342
E00055276,39,40,120
E00055277,30,61,293
E00055278,45,69,449
E00055279,29,59,205
E00055280,18,86,321
E00055281,36,63,332
E00055282,42,59,197
E00055283,11,36,402
E00055284,16,29,175
E00055285,16,29,229
E00055286,15,35,239
E00055287,14,39,340
E00055288,31,66,235
E00055289,10,36,237
E00055290,9,13,198
E00055291,15,53,360
E00055292,3,39,262
E00055294,11,36,305
E00055295,12,33,239
E00055296,18,51,202
E00055297,9,65,303
E00055298,9,23,278
E00055299,8,36,273
E00055300,3,29,225
E00055301,9,40,242
E00055302,15,56,328
E00055303,15,25,329
E00055304,8,35,231
E00055305,9,31,233
E00055306,9,49,233
E00055307,36,45,74
E00055308,21,62,220
E00055309,10,35,314
E00055310,26,51,381
E00055311,19,47,204
E00055312,32,55,133
E00055313,10,40,214
E00055314,16,32,221
E00055315,9,30,259
E00055316,10,36,274
E00055318,8,35,245
E00055319,9,39,204
E00055320,15,43,216
E00055321,22,41,196
E00055322,7,30,192
E00055323,11,48,297
E00055324,17,34,300
E00055325,31,54,308
E00055326,21,35,223
E00055327,12,47,277
E00055328,17,39,194
E00055329,29,56,100
E00055330,31,44,141
E00055331,13,38,245
E00055332,21,53,396
E00055333,14,40,291
E00055334,17,43,189
E00055335,17,33,251
E00055336,32,51,130
E00055337,17,53,322
E00055338,18,48,200
E00055339,12,52,448
E00055340,18,65,160
E00055341,10,48,263
E00055342,8,49,201
E00055343,18,50,246
E00055344,18,32,233
E00055345,34,58,260
E00055346,18,43,269
E00055347,10,36,278
E00055348,13,26,272
E00055349,13,50,153
E00055350,10,49,240
E00055351,11,37,266
E00055352,15,40,224
E00055353,13,38,258
E00055354,12,49,243
E00055390,15,48,315
E00055391,19,44,267
E00055392,19,51,235
E00055393,13,38,224
E00055394,21,37,232
E00055395,20,35,278
E00055396,10,43,287
E00055397,18,48,488
E00055398,23,40,228
E00055399,4,44,262
E00055400,17,41,355
E00055401,8,36,228
E00055402,22,61,215
E00055403,34,51,251
E00055404,17,55,191
E00055405,25,51,279
E00055406,18,48,253
E00055407,22,27,247
E00055408,46,63,196
E00055409,43,81,55
E00055410,8,31,280
E00055411,13,43,183
E00055412,48,85,297
E00055413,33,42,241
E00055414,16,19,217
E00055415,41,62,320
E00055416,31,57,322
E00055417,25,48,276
E00055418,26,46,323
E00055419,36,70,113
E00055420,16,39,238
E00055421,12,40,269
E00055422,20,52,288
E00055423,40,63,346
E00055424,17,37,269
E00055425,30,70,178
E00055426,16,43,240
E00055427,11,57,327
E00055428,13,40,224
E00055430,26,51,324
E00055431,8,35,220
E00055432,10,40,289
E00055433,29,60,210
E00055434,5,49,267
E00055435,15,27,264
E00055436,23,51,336
E00055437,8,23,153
E00055438,13,40,212
E00055439,11,44,224
E00055440,15,47,159
E00055441,7,31,254
E00055442,10,47,240
E00055443,16,35,222
E00055444,9,38,221
E00055445,21,69,420
E00055446,11,40,178
E00055447,9,24,156
E00055448,27,66,415
E00055449,22,36,276
E00055450,24,70,410
E00055451,10,47,282
E00055452,28,54,343
E00055453,15,50,297
E00055454,19,50,304
E00055455,9,28,232
E00055456,18,55,274
E00055457,18,34,305
E00055458,15,53,180
E00055459,21,48,229
E00055460,26,59,169
E00055461,16,35,179
E00055462,21,38,292
E00055504,5,31,214
E00055622,26,53,251
E00055623,68,93,365
E00055624,26,53,276
E00055625,58,61,350
E00055626,41,66,299
E00055627,19,50,359
E00055628,31,58,322
E00055629,34,60,293
E00055630,23,44,306
E00055632,48,54,151
E00055633,20,53,315
E00055634,29,66,313
E00055635,6,34,294
E00055636,11,51,313
E00055637,14,29,290
E00055638,13,39,294
E00055639,10,34,246
E00055640,15,39,271
E00055641,36,53,240
E00055642,19,36,294
E00055643,12,44,193
E00055644,26,64,355
E00055645,22,77,200
E00055646,19,47,265
E00055647,18,63,292
E00055648,19,54,244
E00055649,11,50,219
E00055650,13,41,235
E00055651,38,67,307
E00055652,13,31,205
E00055653,16,38,268
E00055654,24,41,223
E00055655,26,49,228
E00055656,14,31,260
E00055657,13,40,370
E00055658,27,67,278
E00055659,30,63,112
E00055660,27,45,315
E00055661,12,40,286
E00055662,18,48,223
E00055663,20,57,277
E00055664,23,45,274
E00055665,19,50,305
E00055666,12,25,263
E00055667,44,60,320
E00055668,24,63,364
E00055669,13,49,255
E00055885,26,51,322
E00055886,25,44,269
E00055887,36,72,66
E00055892,24,48,204
E00055899,23,49,209
E00055900,15,40,199
E00055902,16,34,277
E00055909,9,42,222
E00055911,17,47,220
E00055913,11,41,169
E00055915,9,30,250
E00055916,22,29,299
E00055919,39,43,160
E00055923,13,49,296
E00055943,20,53,248
E00055945,12,47,273
E00055948,8,30,406
E00055951,7,24,253
E00055957,24,52,278
E00055961,14,34,402
E00055964,25,36,265
E00055966,26,59,432
E00055967,17,42,400
E00055968,43,57,189
E00055970,24,58,313
E00055972,16,58,278
E00055973,22,50,329
E00055974,27,40,247
E00055976,29,45,195
E00055978,28,54,254
E00055979,29,57,251
E00055980,23,63,288
E00055981,30,48,230
E00055982,24,61,469
E00055983,8,40,193
E00056151,18,57,355
E00056158,11,24,312
E00056159,8,46,243
E00056160,13,56,361
E00056162,29,54,172
E00056163,10,49,233
E00056204,13,53,387
E00056205,15,38,208
E00056206,10,26,299
E00056207,18,31,297
E00056433,15,36,270
E00056434,15,31,218
E00056435,9,39,302
E00056436,21,52,291
E00056437,10,25,266
E00056438,20,51,237
E00056439,16,40,248
E00056440,17,34,201
E00056441,30,47,217
E00056442,8,37,287
E00056443,11,37,204
E00056445,10,37,200
E00056446,11,36,229
E00056447,16,41,222
E00056448,14,48,308
E00056449,22,44,237
E00056450,10,44,238
E00056451,15,30,269
E00056452,17,47,366
E00056453,18,45,148
E00056454,27,44,228
E00056455,30,53,129
E00056456,21,46,281
E00056457,16,33,217
E00056458,8,35,278
E00056459,9,48,210
E00056460,13,42,316
E00056461,4,35,251
E00056462,11,35,273
E00056463,11,43,261
E00056464,17,27,319
E00056465,10,39,241
E00056466,7,23,335
E00056467,28,61,318
E00056469,18,66,154
E00056470,31,63,268
E00056471,20,41,152
E00056472,16,32,250
E00056473,25,48,84
E00056474,21,34,299
E00056475,7,41,266
E00056476,17,36,280
E00056477,12,39,538
E00056478,6,30,245
E00056479,11,34,301
E00056480,16,29,265
E00056481,36,54,134
E00056482,22,55,289
E00056483,22,44,201
E00056484,12,37,315
E00056485,12,41,289
E00056486,15,40,311
E00056487,9,44,265
E00056488,12,33,307
E00056593,14,40,327
E00056594,21,71,349
E00056595,16,40,237
E00056596,19,52,215
E00056598,23,44,99
E00056599,11,33,300
E00056600,21,47,202
E00056601,14,33,221
E00056602,31,48,210
