geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E02000002,34,371,1211,123,61,23,18,20,609
E02000003,42,498,1978,289,122,32,22,25,1512
E02000004,39,291,1473,196,72,33,17,21,705
E02000005,58,561,1686,215,81,32,11,20,918
E02000007,48,524,1459,214,67,32,11,21,936
E02000008,66,668,2094,256,87,53,25,16,1277
E02000009,59,560,1538,166,63,46,16,16,1023
E02000010,36,426,1438,224,53,26,18,20,1183
E02000011,46,258,1132,168,75,19,14,19,1035
E02000012,49,348,1774,234,130,19,19,44,1623
E02000013,52,349,1487,172,61,35,24,12,1114
E02000014,49,477,1545,289,64,39,21,19,1276
E02000015,81,404,1149,175,61,25,23,13,952
E02000016,28,413,690,222,69,12,19,12,1783
E02000017,35,393,1169,294,92,16,15,10,1725
E02000018,51,385,1427,181,65,34,17,16,1244
E02000019,58,345,1480,216,70,46,23,8,1188
E02000020,61,433,1313,256,92,18,32,15,1420
E02000021,46,440,1422,243,82,31,21,15,1015
E02000022,42,457,807,225,73,9,24,10,1358
E02000023,55,381,905,117,58,14,16,7,853
E02000065,39,678,1205,90,127,27,27,10,1071
E02000066,45,737,1492,181,101,45,15,12,1407
E02000067,51,480,1928,232,110,36,41,14,1167
E02000068,32,400,1445,226,94,18,27,15,1011
E02000069,34,257,1516,153,107,36,17,21,654
E02000070,47,332,2112,152,126,62,22,44,907
E02000071,44,306,1980,226,105,67,9,31,769
E02000072,64,707,2211,337,108,42,26,12,1167
E02000073,59,325,2791,207,178,81,20,48,1425
E02000074,38,377,1861,224,99,47,23,10,690
E02000075,43,225,2076,214,151,41,24,45,1112
E02000077,47,349,1955,208,130,52,23,32,1082
E02000078,37,237,2200,204,125,49,9,22,1121
E02000079,40,272,1740,307,170,50,18,35,1266
E02000080,38,438,2297,240,136,73,25,41,1286
E02000081,38,270,1828,261,135,52,20,25,888
E02000082,54,329,2456,188,149,58,31,64,1278
E02000083,46,317,2533,299,151,70,20,23,1155
E02000084,64,307,2925,263,245,90,29,64,1448
E02000085,46,304,2238,224,146,54,22,57,918
E02000086,43,229,2107,206,142,64,23,53,948
E02000087,36,175,1821,167,209,52,20,39,1146
E02000088,54,233,2063,172,176,60,33,49,1118
E02000089,63,202,1946,182,160,45,19,51,1146
E02000090,58,320,1736,311,205,40,31,34,1524
E02000091,65,331,2029,326,235,64,21,35,1374
E02000092,40,303,1549,176,104,36,10,17,559
E02000127,38,490,1678,184,124,48,19,14,1046
E02000128,56,253,1723,226,201,51,26,30,1154
E02000133,45,122,1764,116,434,38,25,21,2053
E02000134,112,431,1784,640,329,60,32,18,2381
E02000136,22,147,1268,97,149,16,35,19,590
E02000140,33,382,1671,250,95,42,14,28,707
E02000142,55,215,1585,435,264,44,29,23,1485
E02000144,81,357,1519,495,286,45,30,17,1899
E02000145,43,381,1644,254,109,52,15,11,800
E02000146,78,374,1693,375,249,35,21,19,1476
E02000148,28,141,1313,154,223,17,23,26,1183
E02000149,36,304,1822,265,136,44,17,13,955
E02000151,30,118,1403,164,247,34,13,27,1525
E02000152,40,318,1484,180,120,32,17,13,679
E02000153,55,271,1872,195,238,48,13,39,1123
E02000154,39,266,1689,333,255,42,19,10,1333
E02000155,23,278,1696,243,130,44,22,15,773
E02000157,43,179,1667,217,238,27,14,25,1275
E02000158,44,248,1568,199,146,20,16,18,847
